,0
step_432,0.80614
epoch_12,0.80693
step_1566,0.80679
step_378,0.80627
step_1782,0.80659
epoch_1,0.80569
epoch_2,0.80624
step_756,0.80616
step_324,0.80655
step_1458,0.80697
epoch_7,0.80605
step_702,0.80614
step_648,0.8066
epoch_10,0.80685
step_54,0.80613
epoch_15,0.80687
epoch_14,0.80647
step_2106,0.80653
step_1674,0.80692
epoch_17,0.8064
step_1188,0.80672
step_1998,0.80657
step_216,0.8064
step_918,0.80651
step_1026,0.80629
epoch_3,0.8058
step_810,0.80597
epoch_19,0.80687
epoch_5,0.80683
step_1944,0.80678
step_162,0.80601
step_2052,0.80656
epoch_6,0.80634
step_1836,0.8065
epoch_4,0.80636
step_270,0.80607
epoch_0,0.80592
step_1404,0.8066
step_1728,0.80689
step_972,0.80659
step_1242,0.80676
step_540,0.80575
epoch_18,0.80645
epoch_11,0.80663
step_486,0.8061
step_108,0.80601
step_1620,0.80659
step_1080,0.80648
epoch_16,0.8069
step_1296,0.80648
step_1350,0.80684
epoch_9,0.80656
step_1134,0.80657
step_1890,0.80688
step_1512,0.80705
step_594,0.80631
epoch_8,0.80648
epoch_13,0.80664
step_864,0.80668
