,0
step_1400,0.77
epoch_1,0.78872
step_600,0.77934
epoch_2,0.77902
step_1100,0.7734
step_900,0.77275
epoch_7,0.77011
step_400,0.78918
step_1600,0.77005
step_700,0.77781
step_1800,0.77004
step_800,0.77561
step_1300,0.77157
epoch_3,0.77444
epoch_5,0.77058
epoch_6,0.77072
step_1500,0.77005
epoch_4,0.77266
step_500,0.7869
epoch_0,0.80717
step_300,0.7993
step_2000,0.77019
step_100,0.81359
step_200,0.80751
epoch_9,0.76983
step_1700,0.77027
step_1200,0.77056
step_1900,0.77061
epoch_8,0.7703
step_1000,0.77259
