,BASF-AI__ChEmbed-full
SDSGlovesClassification,0.711
WikipediaIsotopesFissionClassification,0.872619
PubChemSynonymPC,0.617553
WikipediaCrystallographyAnalyticalClassification,0.935395
WikipediaSaltsSemiconductorsClassification,0.867677
PubChemSMILESPC,0.11766
SDSEyeProtectionClassification,0.69895
WikipediaOrganicInorganicClassification,0.855513
PubChemSMILESBitextMining,0.000502
WikipediaSpecialtiesInChemistryClustering,0.34303
ChemHotpotQARetrieval,0.85871
WikipediaBioMetChemClassification,0.979721
WikipediaCryobiologySeparationClassification,0.897854
WikipediaChemistryTopicsClassification,0.841568
PubChemWikiParagraphsPC,0.184891
WikipediaBiolumNeurochemClassification,0.946939
ChemNQRetrieval,0.60494
WikipediaSolidStateColloidalClassification,0.780856
PubChemAISentenceParaphrasePC,0.946953
WikipediaTheoreticalAppliedClassification,0.612776
WikipediaChemFieldsClassification,0.466198
WikipediaChemEngSpecialtiesClassification,0.737903
WikipediaGreenhouseEnantiopureClassification,0.95307
PubChemWikiPairClassification,0.867835
WikipediaCompChemSpectroscopyClassification,0.763801
WikipediaChemistryTopicsClustering,0.749267
WikipediaLuminescenceClassification,0.897561
