,BASF-AI__ChEmbed-plug
SDSGlovesClassification,0.6864
WikipediaIsotopesFissionClassification,0.877381
PubChemSynonymPC,0.631999
WikipediaCrystallographyAnalyticalClassification,0.910309
WikipediaSaltsSemiconductorsClassification,0.862626
PubChemSMILESPC,0.122595
SDSEyeProtectionClassification,0.6541
WikipediaOrganicInorganicClassification,0.84981
PubChemSMILESBitextMining,0.000574
WikipediaSpecialtiesInChemistryClustering,0.476202
ChemHotpotQARetrieval,0.8323333333333334
WikipediaBioMetChemClassification,0.959617
WikipediaCryobiologySeparationClassification,0.886695
WikipediaChemistryTopicsClassification,0.82019
PubChemWikiParagraphsPC,0.201349
WikipediaBiolumNeurochemClassification,0.937755
ChemNQRetrieval,0.59816
WikipediaSolidStateColloidalClassification,0.767342
PubChemAISentenceParaphrasePC,0.949055
WikipediaTheoreticalAppliedClassification,0.592399
WikipediaChemFieldsClassification,0.436869
WikipediaChemEngSpecialtiesClassification,0.700806
WikipediaGreenhouseEnantiopureClassification,0.945175
PubChemWikiPairClassification,0.916577
WikipediaCompChemSpectroscopyClassification,0.763801
WikipediaChemistryTopicsClustering,0.671586
WikipediaLuminescenceClassification,0.873171
