,BASF-AI__ChEmbed-prog
SDSGlovesClassification,0.71635
WikipediaIsotopesFissionClassification,0.880952
PubChemSynonymPC,0.639869
WikipediaCrystallographyAnalyticalClassification,0.917869
WikipediaSaltsSemiconductorsClassification,0.860606
PubChemSMILESPC,0.117553
SDSEyeProtectionClassification,0.658
WikipediaOrganicInorganicClassification,0.852471
PubChemSMILESBitextMining,0.000629
WikipediaSpecialtiesInChemistryClustering,0.296522
ChemHotpotQARetrieval,0.8362433333333333
WikipediaBioMetChemClassification,0.968494
WikipediaCryobiologySeparationClassification,0.888412
WikipediaChemistryTopicsClassification,0.827553
PubChemWikiParagraphsPC,0.210308
WikipediaBiolumNeurochemClassification,0.940816
ChemNQRetrieval,0.59911
WikipediaSolidStateColloidalClassification,0.773423
PubChemAISentenceParaphrasePC,0.947272
WikipediaTheoreticalAppliedClassification,0.592759
WikipediaChemFieldsClassification,0.433404
WikipediaChemEngSpecialtiesClassification,0.724194
WikipediaGreenhouseEnantiopureClassification,0.942544
PubChemWikiPairClassification,0.915865
WikipediaCompChemSpectroscopyClassification,0.759276
WikipediaChemistryTopicsClustering,0.682851
WikipediaLuminescenceClassification,0.887805
