,BASF-AI__ChEmbed-vanilla
SDSGlovesClassification,0.67465
WikipediaIsotopesFissionClassification,0.882143
PubChemSynonymPC,0.663633
WikipediaCrystallographyAnalyticalClassification,0.95189
WikipediaSaltsSemiconductorsClassification,0.860606
PubChemSMILESPC,0.12545
SDSEyeProtectionClassification,0.6737
WikipediaOrganicInorganicClassification,0.874905
PubChemSMILESBitextMining,0.000707
WikipediaSpecialtiesInChemistryClustering,0.276666
ChemHotpotQARetrieval,0.8608466666666666
WikipediaBioMetChemClassification,0.985553
WikipediaCryobiologySeparationClassification,0.913305
WikipediaChemistryTopicsClassification,0.844893
PubChemWikiParagraphsPC,0.213937
WikipediaBiolumNeurochemClassification,0.94898
ChemNQRetrieval,0.57642
WikipediaSolidStateColloidalClassification,0.796396
PubChemAISentenceParaphrasePC,0.944224
WikipediaTheoreticalAppliedClassification,0.634456
WikipediaChemFieldsClassification,0.501253
WikipediaChemEngSpecialtiesClassification,0.733871
WikipediaGreenhouseEnantiopureClassification,0.964474
PubChemWikiPairClassification,0.927547
WikipediaCompChemSpectroscopyClassification,0.773303
WikipediaChemistryTopicsClustering,0.717271
WikipediaLuminescenceClassification,0.913415
