,BASF-AI__Chembedding-plug
SDSGlovesClassification,0.67595
WikipediaIsotopesFissionClassification,0.870238
PubChemSynonymPC,0.648315
WikipediaCrystallographyAnalyticalClassification,0.886598
WikipediaSaltsSemiconductorsClassification,0.849495
PubChemSMILESPC,0.122588
SDSEyeProtectionClassification,0.68065
WikipediaOrganicInorganicClassification,0.840304
PubChemSMILESBitextMining,0.000574
WikipediaSpecialtiesInChemistryClustering,0.181487
ChemHotpotQARetrieval,0.79637
WikipediaBioMetChemClassification,0.926806
WikipediaCryobiologySeparationClassification,0.864378
WikipediaChemistryTopicsClassification,0.793587
PubChemWikiParagraphsPC,0.202304
WikipediaBiolumNeurochemClassification,0.916327
ChemNQRetrieval,0.51735
WikipediaSolidStateColloidalClassification,0.742568
PubChemAISentenceParaphrasePC,0.937174
WikipediaTheoreticalAppliedClassification,0.574062
WikipediaChemFieldsClassification,0.38814
WikipediaChemEngSpecialtiesClassification,0.658871
WikipediaGreenhouseEnantiopureClassification,0.928509
PubChemWikiPairClassification,0.899999
WikipediaCompChemSpectroscopyClassification,0.754751
WikipediaChemistryTopicsClustering,0.644807
WikipediaLuminescenceClassification,0.836585
