,BASF-AI__Chembedding-prog
SDSGlovesClassification,0.68045
WikipediaIsotopesFissionClassification,0.867857
PubChemSynonymPC,0.650361
WikipediaCrystallographyAnalyticalClassification,0.895189
WikipediaSaltsSemiconductorsClassification,0.857576
PubChemSMILESPC,0.121069
SDSEyeProtectionClassification,0.6789
WikipediaOrganicInorganicClassification,0.847909
PubChemSMILESBitextMining,0.000947
WikipediaSpecialtiesInChemistryClustering,0.257226
ChemHotpotQARetrieval,0.79077
WikipediaBioMetChemClassification,0.942472
WikipediaCryobiologySeparationClassification,0.869957
WikipediaChemistryTopicsClassification,0.804513
PubChemWikiParagraphsPC,0.206952
WikipediaBiolumNeurochemClassification,0.916327
ChemNQRetrieval,0.53101
WikipediaSolidStateColloidalClassification,0.757658
PubChemAISentenceParaphrasePC,0.935368
WikipediaTheoreticalAppliedClassification,0.579572
WikipediaChemFieldsClassification,0.408606
WikipediaChemEngSpecialtiesClassification,0.674194
WikipediaGreenhouseEnantiopureClassification,0.936404
PubChemWikiPairClassification,0.910455
WikipediaCompChemSpectroscopyClassification,0.754751
WikipediaChemistryTopicsClustering,0.620543
WikipediaLuminescenceClassification,0.85
