,BASF-AI__Chembedding-vanilla
SDSGlovesClassification,0.66585
WikipediaIsotopesFissionClassification,0.87381
PubChemSynonymPC,0.696073
WikipediaCrystallographyAnalyticalClassification,0.933677
WikipediaSaltsSemiconductorsClassification,0.850505
PubChemSMILESPC,0.118788
SDSEyeProtectionClassification,0.69185
WikipediaOrganicInorganicClassification,0.870722
PubChemSMILESBitextMining,0.000707
WikipediaSpecialtiesInChemistryClustering,0.274598
ChemHotpotQARetrieval,0.8539666666666667
WikipediaBioMetChemClassification,0.975457
WikipediaCryobiologySeparationClassification,0.903004
WikipediaChemistryTopicsClassification,0.834917
PubChemWikiParagraphsPC,0.237055
WikipediaBiolumNeurochemClassification,0.930612
ChemNQRetrieval,0.53054
WikipediaSolidStateColloidalClassification,0.777477
PubChemAISentenceParaphrasePC,0.92793
WikipediaTheoreticalAppliedClassification,0.60988
WikipediaChemFieldsClassification,0.464688
WikipediaChemEngSpecialtiesClassification,0.719355
WikipediaGreenhouseEnantiopureClassification,0.951316
PubChemWikiPairClassification,0.954888
WikipediaCompChemSpectroscopyClassification,0.764706
WikipediaChemistryTopicsClustering,0.699772
WikipediaLuminescenceClassification,0.912195
