,nomic-ai__nomic-embed-text-v1
SDSGlovesClassification,0.7311
WikipediaIsotopesFissionClassification,0.9
PubChemSynonymPC,0.66148
WikipediaCrystallographyAnalyticalClassification,0.96323
WikipediaSaltsSemiconductorsClassification,0.869697
PubChemSMILESPC,0.117999
SDSEyeProtectionClassification,0.73165
WikipediaOrganicInorganicClassification,0.888973
PubChemSMILESBitextMining,0.001078
WikipediaSpecialtiesInChemistryClustering,0.270375
ChemHotpotQARetrieval,0.88004
WikipediaBioMetChemClassification,0.992254
WikipediaCryobiologySeparationClassification,0.926609
WikipediaChemistryTopicsClassification,0.855344
PubChemWikiParagraphsPC,0.298358
WikipediaBiolumNeurochemClassification,0.958163
ChemNQRetrieval,0.63277
WikipediaSolidStateColloidalClassification,0.822523
PubChemAISentenceParaphrasePC,0.927858
WikipediaTheoreticalAppliedClassification,0.664233
WikipediaChemFieldsClassification,0.535476
WikipediaChemEngSpecialtiesClassification,0.741935
WikipediaGreenhouseEnantiopureClassification,0.975
PubChemWikiPairClassification,0.924779
WikipediaCompChemSpectroscopyClassification,0.777828
WikipediaChemistryTopicsClustering,0.657247
WikipediaLuminescenceClassification,0.910976
