,nomic-ai__nomic-embed-text-v1-unsupervised
SDSGlovesClassification,0.65975
WikipediaIsotopesFissionClassification,0.894048
PubChemSynonymPC,0.682197
WikipediaCrystallographyAnalyticalClassification,0.966323
WikipediaSaltsSemiconductorsClassification,0.864646
PubChemSMILESPC,0.12611
SDSEyeProtectionClassification,0.69175
WikipediaOrganicInorganicClassification,0.881369
PubChemSMILESBitextMining,0.000735
WikipediaSpecialtiesInChemistryClustering,0.4506
ChemHotpotQARetrieval,0.8110733333333333
WikipediaBioMetChemClassification,0.982507
WikipediaCryobiologySeparationClassification,0.932189
WikipediaChemistryTopicsClassification,0.87981
PubChemWikiParagraphsPC,0.478739
WikipediaBiolumNeurochemClassification,0.965306
ChemNQRetrieval,0.5874
WikipediaSolidStateColloidalClassification,0.811261
PubChemAISentenceParaphrasePC,0.913409
WikipediaTheoreticalAppliedClassification,0.628406
WikipediaChemFieldsClassification,0.499778
WikipediaChemEngSpecialtiesClassification,0.776613
WikipediaGreenhouseEnantiopureClassification,0.964474
PubChemWikiPairClassification,0.988151
WikipediaCompChemSpectroscopyClassification,0.782353
WikipediaChemistryTopicsClustering,0.692716
WikipediaLuminescenceClassification,0.897561
