,nomic-ai__nomic-embed-text-v1-unsupervised
SDSGlovesClassification,0.68365
WikipediaIsotopesFissionClassification,0.892857
PubChemSynonymPC,0.689145
WikipediaCrystallographyAnalyticalClassification,0.96323
WikipediaSaltsSemiconductorsClassification,0.862626
PubChemSMILESPC,0.123707
SDSEyeProtectionClassification,0.68035
WikipediaOrganicInorganicClassification,0.865779
PubChemSMILESBitextMining,0.000696
WikipediaSpecialtiesInChemistryClustering,0.362932
ChemHotpotQARetrieval,0.81601
WikipediaBioMetChemClassification,0.97772
WikipediaCryobiologySeparationClassification,0.93176
WikipediaChemistryTopicsClassification,0.882898
PubChemWikiParagraphsPC,0.447211
WikipediaBiolumNeurochemClassification,0.967347
ChemNQRetrieval,0.55039
WikipediaSolidStateColloidalClassification,0.806306
PubChemAISentenceParaphrasePC,0.923073
WikipediaTheoreticalAppliedClassification,0.616598
WikipediaChemFieldsClassification,0.473434
WikipediaChemEngSpecialtiesClassification,0.778226
WikipediaGreenhouseEnantiopureClassification,0.959211
PubChemWikiPairClassification,0.990808
WikipediaCompChemSpectroscopyClassification,0.765611
WikipediaChemistryTopicsClustering,0.77115
WikipediaLuminescenceClassification,0.907317
