,nomic-ai__nomic-embed-text-v1
SDSGlovesClassification,0.67885
WikipediaIsotopesFissionClassification,0.902381
PubChemSynonymPC,0.656874
WikipediaCrystallographyAnalyticalClassification,0.968041
WikipediaSaltsSemiconductorsClassification,0.867677
PubChemSMILESPC,0.119776
SDSEyeProtectionClassification,0.69465
WikipediaOrganicInorganicClassification,0.888973
PubChemSMILESBitextMining,0.001039
WikipediaSpecialtiesInChemistryClustering,0.48394
ChemHotpotQARetrieval,0.87181
WikipediaBioMetChemClassification,0.992341
WikipediaCryobiologySeparationClassification,0.93176
WikipediaChemistryTopicsClassification,0.865083
PubChemWikiParagraphsPC,0.299308
WikipediaBiolumNeurochemClassification,0.960204
ChemNQRetrieval,0.63654
WikipediaSolidStateColloidalClassification,0.824775
PubChemAISentenceParaphrasePC,0.937356
WikipediaTheoreticalAppliedClassification,0.666367
WikipediaChemFieldsClassification,0.538391
WikipediaChemEngSpecialtiesClassification,0.745161
WikipediaGreenhouseEnantiopureClassification,0.976754
PubChemWikiPairClassification,0.943815
WikipediaCompChemSpectroscopyClassification,0.775566
WikipediaChemistryTopicsClustering,0.684007
WikipediaLuminescenceClassification,0.906098
