,step_361,epoch_1,epoch_2,step_285,step_266,step_76,epoch_7,step_304,step_342,step_38,step_133,step_323,epoch_3,epoch_5,step_228,step_19,step_171,epoch_6,epoch_4,epoch_0,step_209,step_57,step_95,epoch_9,step_247,step_152,step_114,step_190,epoch_8
SDSGlovesClassification,0.69435,0.69205,0.6908,0.6934,0.6935,0.6921,0.6943,0.6941,0.6933,0.69435,0.6904,0.6941,0.69185,0.693,0.6931,0.69525,0.69215,0.69445,0.69155,0.6941,0.6927,0.6925,0.69125,0.69395,0.69375,0.6919,0.6911,0.69185,0.69355
WikipediaIsotopesFissionClassification,0.896429,0.902381,0.89881,0.896429,0.896429,0.903571,0.895238,0.896429,0.895238,0.904762,0.89881,0.896429,0.9,0.897619,0.9,0.905952,0.89881,0.897619,0.89881,0.903571,0.9,0.903571,0.9,0.896429,0.897619,0.9,0.89881,0.89881,0.896429
PubChemSynonymPC,0.618597,0.605341,0.607768,0.619562,0.61972,0.605334,0.618668,0.618445,0.618619,0.595103,0.611237,0.61893,0.610449,0.619357,0.619397,0.575404,0.614806,0.619641,0.617091,0.593018,0.619254,0.604542,0.608468,0.618613,0.620146,0.611065,0.608828,0.616929,0.618691
WikipediaCrystallographyAnalyticalClassification,0.95189,0.952921,0.952921,0.952234,0.952234,0.952921,0.952234,0.952577,0.952921,0.953265,0.952921,0.952577,0.952921,0.952234,0.952921,0.954639,0.952921,0.95189,0.953265,0.953608,0.952234,0.953265,0.953265,0.95189,0.952577,0.952577,0.953265,0.952577,0.953265
WikipediaSaltsSemiconductorsClassification,0.864646,0.871717,0.871717,0.867677,0.866667,0.871717,0.865657,0.865657,0.864646,0.874747,0.869697,0.865657,0.868687,0.867677,0.867677,0.874747,0.868687,0.866667,0.867677,0.873737,0.868687,0.874747,0.871717,0.864646,0.868687,0.868687,0.870707,0.867677,0.864646
PubChemSMILESPC,0.119325,0.12322,0.126233,0.119146,0.118818,0.123468,0.118936,0.119311,0.119207,0.123042,0.125397,0.118887,0.124903,0.117143,0.117163,0.116761,0.12238,0.118223,0.121483,0.122917,0.120148,0.123304,0.124336,0.118871,0.118174,0.124748,0.126268,0.12031,0.118958
SDSEyeProtectionClassification,0.65895,0.65935,0.66045,0.65995,0.6612,0.6579,0.6597,0.66005,0.65945,0.655,0.66065,0.65975,0.66095,0.6604,0.66095,0.65895,0.65995,0.66155,0.6595,0.6549,0.66005,0.65755,0.66055,0.65935,0.66155,0.66005,0.6601,0.65885,0.65965
WikipediaOrganicInorganicClassification,0.873004,0.867681,0.867681,0.872624,0.871863,0.8673,0.872624,0.873384,0.872624,0.8673,0.868441,0.872243,0.870722,0.870722,0.870342,0.868821,0.869962,0.872243,0.871103,0.8673,0.871483,0.86692,0.86654,0.872243,0.872243,0.871103,0.868821,0.871103,0.872243
PubChemSMILESBitextMining,0.00045,0.000815,0.000914,0.000463,0.00047,0.000775,0.000469,0.000484,0.000439,0.001301,0.000605,0.000451,0.000463,0.00048,0.000465,0.00108,0.000434,0.00047,0.000474,0.001286,0.000448,0.000906,0.000681,0.000459,0.000449,0.000467,0.000794,0.000441,0.000451
WikipediaSpecialtiesInChemistryClustering,0.331873,0.459325,0.45294,0.33157,0.380196,0.438902,0.342448,0.333108,0.346358,0.469555,0.390208,0.334337,0.385951,0.342453,0.344574,0.463472,0.395738,0.342453,0.360087,0.470061,0.388432,0.466854,0.4392,0.342448,0.342453,0.389257,0.45294,0.395813,0.337368
ChemHotpotQARetrieval,0.88423,0.8841866666666667,0.88307,0.88423,0.8842633333333333,0.88406,0.8842633333333333,0.88423,0.88423,0.88317,0.8812566666666667,0.88439,0.8826633333333334,0.88243,0.8819766666666666,0.8829233333333333,0.8808633333333333,0.8820600000000001,0.8833733333333333,0.8763366666666667,0.8814366666666666,0.88815,0.88878,0.8843566666666667,0.8810966666666666,0.8819033333333333,0.8829566666666666,0.88281,0.88415
WikipediaBioMetChemClassification,0.988077,0.990078,0.989121,0.988251,0.988251,0.989817,0.988164,0.988251,0.988077,0.990949,0.988947,0.988077,0.988773,0.988164,0.988251,0.991645,0.988512,0.988164,0.988425,0.991036,0.988338,0.990252,0.989469,0.988077,0.988164,0.988686,0.989208,0.988425,0.988164
WikipediaCryobiologySeparationClassification,0.925751,0.93176,0.929185,0.926609,0.925751,0.93176,0.925322,0.92618,0.92618,0.932189,0.928326,0.925751,0.928755,0.927468,0.926609,0.93176,0.927897,0.92618,0.927897,0.932618,0.926609,0.93176,0.930043,0.92618,0.927039,0.928755,0.929614,0.927039,0.927039
WikipediaChemistryTopicsClassification,0.864371,0.871971,0.870071,0.864133,0.864371,0.872209,0.864133,0.864371,0.864608,0.874584,0.869121,0.864133,0.866983,0.865796,0.864608,0.87601,0.866271,0.865558,0.866746,0.875059,0.864608,0.874584,0.869834,0.864371,0.865321,0.866983,0.869359,0.865558,0.86342
