,step_361,epoch_1,epoch_2,step_285,step_266,step_76,epoch_7,step_304,step_342,step_38,step_133,step_323,epoch_3,epoch_5,step_228,step_19,step_171,epoch_6,epoch_4,epoch_0,step_209,step_57,step_95,epoch_9,step_247,step_152,step_114,step_190,epoch_8
SDSGlovesClassification,0.69035,0.6883,0.68905,0.68945,0.6894,0.68755,0.6907,0.6902,0.69045,0.6874,0.688,0.6908,0.68885,0.68675,0.6875,0.68975,0.68815,0.68895,0.6875,0.6874,0.68725,0.68785,0.6886,0.6906,0.688,0.68775,0.689,0.6876,0.6913
WikipediaIsotopesFissionClassification,0.89881,0.902381,0.9,0.89881,0.89881,0.902381,0.89881,0.89881,0.89881,0.902381,0.9,0.89881,0.9,0.9,0.9,0.904762,0.896429,0.9,0.89881,0.903571,0.9,0.902381,0.90119,0.89881,0.9,0.9,0.9,0.89881,0.897619
PubChemSynonymPC,0.610314,0.607821,0.611364,0.611536,0.611586,0.608374,0.611159,0.610953,0.61058,0.597404,0.613025,0.610785,0.610675,0.611978,0.612632,0.583632,0.613916,0.611476,0.612549,0.59605,0.613128,0.605818,0.611189,0.61034,0.612318,0.611133,0.6124,0.612879,0.610556
WikipediaCrystallographyAnalyticalClassification,0.952577,0.953265,0.952921,0.952577,0.952234,0.953608,0.952577,0.952234,0.952234,0.954296,0.953952,0.952577,0.953608,0.952921,0.952234,0.953952,0.952921,0.952577,0.952234,0.953952,0.952234,0.954296,0.952577,0.952921,0.952921,0.952577,0.952921,0.952577,0.952921
WikipediaSaltsSemiconductorsClassification,0.862626,0.872727,0.869697,0.863636,0.862626,0.872727,0.865657,0.862626,0.863636,0.874747,0.870707,0.863636,0.866667,0.864646,0.866667,0.875758,0.865657,0.862626,0.867677,0.873737,0.867677,0.872727,0.871717,0.863636,0.862626,0.867677,0.870707,0.867677,0.863636
PubChemSMILESPC,0.120625,0.118652,0.123465,0.120484,0.120607,0.119027,0.120671,0.120713,0.120684,0.116764,0.123383,0.12015,0.120487,0.121344,0.121594,0.116143,0.121229,0.121387,0.122442,0.116278,0.121653,0.116811,0.120074,0.120803,0.121153,0.118037,0.124207,0.122934,0.121118
SDSEyeProtectionClassification,0.65525,0.6547,0.65575,0.6559,0.6564,0.65595,0.65515,0.65555,0.65485,0.6532,0.65475,0.6555,0.65585,0.6554,0.6553,0.65125,0.65595,0.65615,0.65495,0.65185,0.6551,0.65295,0.6554,0.65525,0.655,0.65565,0.6546,0.65515,0.6563
WikipediaOrganicInorganicClassification,0.871103,0.86616,0.865779,0.869202,0.869962,0.86654,0.870342,0.870342,0.871103,0.86616,0.864259,0.871103,0.865399,0.869582,0.869962,0.867681,0.86654,0.870342,0.869202,0.86654,0.867681,0.865399,0.865779,0.870722,0.869582,0.865399,0.86616,0.868821,0.871103
PubChemSMILESBitextMining,0.000611,0.000648,0.00071,0.000603,0.000599,0.000647,0.000624,0.000605,0.000637,0.000877,0.0008,0.000607,0.000795,0.000614,0.000598,0.001039,0.000592,0.000598,0.000601,0.000843,0.000572,0.000769,0.000586,0.000611,0.000583,0.000758,0.000718,0.000604,0.000611
WikipediaSpecialtiesInChemistryClustering,0.444413,0.465489,0.44017,0.335102,0.382843,0.465489,0.341084,0.336826,0.429141,0.464009,0.405354,0.442238,0.382607,0.443528,0.4335,0.463399,0.389108,0.431864,0.388919,0.460846,0.344053,0.449741,0.444533,0.44323,0.431864,0.389685,0.438108,0.388919,0.44323
ChemHotpotQARetrieval,0.8799533333333334,0.88371,0.8837466666666667,0.88008,0.88008,0.8929433333333333,0.8801733333333334,0.88008,0.8823766666666667,0.8923,0.8891233333333334,0.88258,0.8828266666666666,0.8810866666666667,0.8808766666666666,0.8803633333333333,0.88149,0.88003,0.88098,0.8907233333333333,0.88005,0.8831966666666666,0.88986,0.88008,0.8808766666666666,0.88335,0.8839899999999999,0.88098,0.88008
WikipediaBioMetChemClassification,0.987815,0.989904,0.989121,0.987815,0.987815,0.989991,0.987903,0.987903,0.987903,0.990775,0.989208,0.987903,0.98886,0.987903,0.987903,0.991297,0.988338,0.987815,0.988164,0.990688,0.98799,0.990078,0.989295,0.987815,0.987815,0.988947,0.989382,0.988077,0.987815
WikipediaCryobiologySeparationClassification,0.925322,0.930043,0.928755,0.92618,0.925751,0.930472,0.92618,0.925751,0.924893,0.933047,0.929185,0.925322,0.927897,0.926609,0.92618,0.932189,0.926609,0.926609,0.927039,0.932618,0.927039,0.93176,0.929185,0.925751,0.927039,0.927897,0.928755,0.92618,0.925751
WikipediaChemistryTopicsClassification,0.863658,0.872447,0.869121,0.863895,0.865083,0.871734,0.863895,0.864608,0.865558,0.874584,0.868409,0.864371,0.866983,0.866271,0.866746,0.874109,0.866271,0.865558,0.865558,0.874109,0.864846,0.873634,0.871259,0.863895,0.864608,0.867458,0.869834,0.865558,0.862708
PubChemWikiParagraphsPC,0.211357,0.229611,0.224916,0.21278,0.213234,0.22913,0.211918,0.212141,0.211521,0.243606,0.223559,0.211744,0.220664,0.215268,0.214742,0.24413,0.219779,0.213562,0.218103,0.244246,0.217716,0.236477,0.229058,0.211213,0.214544,0.220195,0.224689,0.217952,0.211759
WikipediaBiolumNeurochemClassification,0.95102,0.958163,0.956122,0.95102,0.95102,0.958163,0.95102,0.95102,0.95,0.957143,0.955102,0.95102,0.954082,0.952041,0.95102,0.959184,0.953061,0.952041,0.953061,0.957143,0.953061,0.958163,0.957143,0.95102,0.95102,0.954082,0.956122,0.953061,0.95102
ChemNQRetrieval,0.5798,0.61741,0.61952,0.57228,0.57109,0.60645,0.5791,0.5791,0.57935,0.61928,0.61992,0.5798,0.60828,0.58519,0.5861,0.6511,0.60227,0.58676,0.58776,0.62971,0.59938,0.61997,0.60624,0.57277,0.58636,0.60413,0.62017,0.58776,0.57844
WikipediaSolidStateColloidalClassification,0.811937,0.81464,0.812838,0.811712,0.812613,0.81509,0.811937,0.811712,0.812387,0.818694,0.812613,0.811937,0.812838,0.811486,0.812162,0.819595,0.811486,0.812387,0.813288,0.819144,0.812838,0.818468,0.812613,0.812387,0.811937,0.812613,0.812838,0.812838,0.812613
PubChemAISentenceParaphrasePC,0.94209,0.932126,0.933274,0.941374,0.94116,0.931978,0.941507,0.941727,0.941963,0.928336,0.935707,0.94169,0.935747,0.940869,0.940799,0.924951,0.938066,0.941266,0.939758,0.928338,0.940826,0.931311,0.932417,0.94196,0.941208,0.936194,0.933818,0.940052,0.942002
WikipediaTheoreticalAppliedClassification,0.642665,0.654027,0.650343,0.643068,0.643248,0.65383,0.642802,0.642819,0.642708,0.656581,0.648766,0.642751,0.648192,0.64389,0.643847,0.659272,0.646384,0.643539,0.64599,0.657035,0.644627,0.655296,0.651003,0.642562,0.643676,0.647866,0.650386,0.645587,0.642631
WikipediaChemFieldsClassification,0.505561,0.519131,0.515642,0.506475,0.507013,0.519155,0.506486,0.506873,0.506369,0.523206,0.514026,0.50603,0.512575,0.508477,0.508067,0.52529,0.510924,0.507587,0.510701,0.523498,0.508863,0.52111,0.515935,0.506077,0.507622,0.512434,0.515806,0.510549,0.505831
WikipediaChemEngSpecialtiesClassification,0.767742,0.776613,0.773387,0.768548,0.768548,0.777419,0.767742,0.767742,0.767742,0.784677,0.772581,0.768548,0.771774,0.769355,0.768548,0.78629,0.773387,0.768548,0.771774,0.784677,0.770968,0.780645,0.773387,0.766935,0.768548,0.773387,0.774194,0.770161,0.766935
WikipediaGreenhouseEnantiopureClassification,0.969737,0.975,0.974561,0.971053,0.971053,0.975877,0.971053,0.970614,0.970175,0.975877,0.973246,0.970614,0.973246,0.972368,0.972368,0.977193,0.972807,0.971491,0.972368,0.975877,0.972807,0.975439,0.974561,0.970614,0.972368,0.972807,0.973246,0.972368,0.970175
PubChemWikiPairClassification,0.837173,0.81911,0.823778,0.836151,0.835393,0.819055,0.835993,0.836833,0.836773,0.818841,0.832748,0.836861,0.830657,0.833329,0.8329,0.795479,0.832471,0.83609,0.831171,0.817864,0.835505,0.823223,0.828,0.837274,0.8369,0.829755,0.825042,0.831729,0.83732
WikipediaCompChemSpectroscopyClassification,0.766516,0.770588,0.770588,0.766968,0.768326,0.769683,0.766968,0.766968,0.767421,0.771493,0.769231,0.766968,0.771041,0.769683,0.769683,0.770136,0.769231,0.766968,0.768326,0.771041,0.767873,0.769231,0.768326,0.766968,0.768326,0.770136,0.771041,0.767873,0.767421
WikipediaChemistryTopicsClustering,0.726369,0.724872,0.686124,0.72129,0.697066,0.721358,0.718059,0.691777,0.704401,0.684922,0.680256,0.726951,0.689252,0.716128,0.70586,0.725658,0.69345,0.714269,0.712824,0.72496,0.717906,0.676999,0.727481,0.72611,0.698499,0.617664,0.726216,0.734503,0.726221
WikipediaLuminescenceClassification,0.913415,0.917073,0.917073,0.913415,0.914634,0.917073,0.914634,0.914634,0.914634,0.914634,0.915854,0.914634,0.912195,0.914634,0.914634,0.914634,0.914634,0.913415,0.915854,0.914634,0.915854,0.917073,0.917073,0.913415,0.914634,0.914634,0.917073,0.915854,0.914634
