,step_660,epoch_1,epoch_2,step_1045,step_440,epoch_7,step_385,step_825,step_275,step_605,epoch_3,epoch_5,step_935,epoch_6,epoch_4,epoch_0,step_770,step_715,step_550,step_495,step_165,step_220,step_990,step_55,step_110,epoch_9,step_880,step_330,epoch_8
SDSGlovesClassification,0.6881,0.689,0.68745,0.68935,0.6875,0.68965,0.686,0.6861,0.68845,0.68835,0.68755,0.6881,0.6874,0.6902,0.6846,0.68315,0.68865,0.68585,0.6853,0.6847,0.6822,0.68755,0.6885,0.68345,0.68725,0.68945,0.6868,0.68815,0.68825
WikipediaIsotopesFissionClassification,0.87381,0.878571,0.87619,0.872619,0.87381,0.875,0.878571,0.87381,0.877381,0.875,0.87619,0.87381,0.875,0.875,0.87381,0.884524,0.87381,0.875,0.87381,0.87381,0.882143,0.884524,0.875,0.894048,0.886905,0.87381,0.87381,0.878571,0.87381
PubChemSynonymPC,0.611473,0.605227,0.612533,0.610958,0.609663,0.609851,0.609703,0.611996,0.611115,0.608506,0.607592,0.608955,0.610743,0.614145,0.610467,0.604731,0.612916,0.611543,0.609489,0.609991,0.601449,0.607781,0.611253,0.597037,0.606639,0.610806,0.61118,0.614114,0.609245
WikipediaCrystallographyAnalyticalClassification,0.923024,0.94055,0.936426,0.920962,0.930241,0.92268,0.930928,0.923368,0.934708,0.923024,0.927835,0.920962,0.920619,0.923024,0.924742,0.943986,0.923024,0.921649,0.92543,0.927148,0.945017,0.941237,0.919931,0.949828,0.944674,0.921649,0.921306,0.932646,0.921993
WikipediaSaltsSemiconductorsClassification,0.859596,0.861616,0.870707,0.860606,0.864646,0.859596,0.859596,0.861616,0.867677,0.864646,0.865657,0.863636,0.862626,0.859596,0.866667,0.857576,0.862626,0.863636,0.863636,0.865657,0.861616,0.860606,0.861616,0.861616,0.854545,0.861616,0.863636,0.861616,0.858586
PubChemSMILESPC,0.122164,0.125342,0.119195,0.122757,0.121655,0.122416,0.120554,0.122329,0.12304,0.121414,0.12132,0.120086,0.123093,0.120831,0.121344,0.123381,0.121041,0.121959,0.120052,0.120259,0.123646,0.125637,0.122522,0.131713,0.123148,0.122846,0.122217,0.122797,0.122611
SDSEyeProtectionClassification,0.6714,0.67945,0.68595,0.66325,0.6779,0.66365,0.68,0.6671,0.67865,0.67185,0.68565,0.67165,0.6661,0.66805,0.68135,0.68035,0.66685,0.66905,0.67405,0.6781,0.6726,0.6817,0.66355,0.6704,0.6827,0.6619,0.66375,0.6776,0.6629
WikipediaOrganicInorganicClassification,0.853992,0.857795,0.854373,0.854753,0.854373,0.854753,0.854753,0.853992,0.858935,0.855133,0.854753,0.853992,0.852471,0.856654,0.853992,0.862738,0.853612,0.853612,0.852471,0.852471,0.860456,0.861217,0.854373,0.858935,0.862357,0.853992,0.853992,0.855894,0.852852
PubChemSMILESBitextMining,0.00054,0.000407,0.000539,0.000555,0.00039,0.000561,0.000516,0.000556,0.000696,0.0005,0.000452,0.000587,0.000544,0.000578,0.000551,0.000538,0.000588,0.00059,0.000578,0.000521,0.000728,0.000414,0.000552,0.001202,0.000368,0.000572,0.000539,0.000523,0.000556
WikipediaSpecialtiesInChemistryClustering,0.492341,0.521304,0.533355,0.519403,0.37538,0.506035,0.364954,0.509931,0.548459,0.520555,0.357615,0.341392,0.529363,0.534567,0.355092,0.360833,0.521295,0.527441,0.352479,0.355517,0.557912,0.548136,0.518966,0.380688,0.33932,0.502761,0.523299,0.518257,0.524307
ChemHotpotQARetrieval,0.8481266666666667,0.8622733333333333,0.86383,0.8454,0.8561766666666667,0.84651,0.84866,0.8479266666666667,0.8584766666666667,0.8492766666666667,0.84799,0.8498433333333333,0.84677,0.8448100000000001,0.85709,0.8650933333333334,0.8476666666666667,0.8491366666666667,0.8499833333333333,0.85549,0.86252,0.85766,0.8419166666666666,0.8525166666666667,0.8661866666666667,0.8478233333333334,0.84443,0.85839,0.84021
WikipediaBioMetChemClassification,0.974413,0.98007,0.979896,0.971366,0.978416,0.971976,0.979286,0.972411,0.980157,0.975022,0.978677,0.974064,0.97154,0.973194,0.976501,0.983116,0.972585,0.973629,0.976588,0.977023,0.981636,0.980418,0.971105,0.984769,0.982419,0.971105,0.97154,0.979547,0.971279
WikipediaCryobiologySeparationClassification,0.895279,0.901288,0.901288,0.892275,0.896996,0.892704,0.896996,0.895279,0.902146,0.894421,0.893991,0.895279,0.893562,0.894421,0.896137,0.908584,0.89485,0.893562,0.896567,0.896996,0.907296,0.904292,0.893133,0.915451,0.907725,0.892704,0.893562,0.900429,0.893991
WikipediaChemistryTopicsClassification,0.831116,0.839905,0.842755,0.826366,0.837767,0.826366,0.83848,0.828266,0.84228,0.831354,0.835154,0.831591,0.824703,0.829929,0.834679,0.844893,0.828266,0.830166,0.837767,0.836105,0.846318,0.843705,0.826841,0.854632,0.845606,0.825416,0.827791,0.840855,0.827078
