,step_432,epoch_12,step_1566,step_378,step_1782,epoch_1,epoch_2,step_756,step_324,step_1458,epoch_7,step_702,step_648,epoch_10,step_54,epoch_15,epoch_14,step_2106,step_1674,epoch_17,step_1188,step_1998,step_216,step_918,step_1026,epoch_3,step_810,epoch_19,epoch_5,step_1944,step_162,step_2052,epoch_6,step_1836,epoch_4,step_270,epoch_0,step_1404,step_1728,step_972,step_1242,step_540,epoch_18,epoch_11,step_486,step_108,step_1620,step_1080,epoch_16,step_1296,step_1350,epoch_9,step_1134,step_1890,step_1512,step_594,epoch_8,epoch_13,step_864
SDSGlovesClassification,0.69245,0.6914,0.69235,0.69225,0.69215,0.69135,0.69255,0.6916,0.692,0.69155,0.6916,0.6919,0.69195,0.69235,0.6925,0.6915,0.69135,0.69155,0.6921,0.6916,0.6916,0.69175,0.69155,0.69195,0.6918,0.692,0.69215,0.6917,0.6927,0.6916,0.69245,0.6922,0.69185,0.6921,0.69255,0.6924,0.69235,0.6922,0.6913,0.69265,0.6916,0.6927,0.69155,0.6917,0.6925,0.6925,0.6922,0.6916,0.6921,0.6916,0.69185,0.692,0.6921,0.6925,0.69165,0.69145,0.69205,0.6914,0.6923
WikipediaIsotopesFissionClassification,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143,0.907143
PubChemSynonymPC,0.562333,0.559727,0.559829,0.562933,0.559697,0.563968,0.562598,0.560147,0.562684,0.559454,0.560191,0.560628,0.560967,0.559742,0.563392,0.559769,0.560004,0.559463,0.559836,0.559195,0.55989,0.559663,0.563949,0.55995,0.559606,0.562796,0.560345,0.559144,0.560844,0.559469,0.564123,0.559322,0.560364,0.559375,0.562078,0.562811,0.56438,0.560055,0.559428,0.55974,0.559467,0.561599,0.559246,0.55977,0.561871,0.564312,0.560043,0.559569,0.559207,0.559456,0.559762,0.559565,0.559561,0.559315,0.560074,0.561176,0.559891,0.560341,0.559982
WikipediaCrystallographyAnalyticalClassification,0.954639,0.954983,0.954639,0.954983,0.955326,0.955326,0.954983,0.955326,0.954983,0.955326,0.954639,0.955326,0.954639,0.954983,0.955326,0.955326,0.954983,0.955326,0.955326,0.955326,0.955326,0.955326,0.955326,0.955326,0.955326,0.95567,0.954983,0.954983,0.954983,0.954983,0.954983,0.954983,0.955326,0.954983,0.955326,0.954983,0.954983,0.955326,0.955326,0.95567,0.955326,0.955326,0.955326,0.955326,0.954983,0.955326,0.955326,0.955326,0.954639,0.955326,0.955326,0.955326,0.955326,0.95567,0.955326,0.954983,0.955326,0.955326,0.955326
WikipediaSaltsSemiconductorsClassification,0.876768,0.875758,0.875758,0.875758,0.875758,0.875758,0.875758,0.877778,0.875758,0.875758,0.876768,0.874747,0.876768,0.876768,0.874747,0.875758,0.877778,0.875758,0.875758,0.875758,0.875758,0.875758,0.875758,0.876768,0.875758,0.875758,0.876768,0.875758,0.876768,0.875758,0.875758,0.875758,0.874747,0.875758,0.876768,0.876768,0.876768,0.875758,0.875758,0.877778,0.875758,0.876768,0.875758,0.875758,0.874747,0.875758,0.876768,0.875758,0.875758,0.875758,0.875758,0.875758,0.876768,0.875758,0.875758,0.876768,0.875758,0.875758,0.875758
PubChemSMILESPC,0.114662,0.115662,0.115426,0.114465,0.115729,0.113113,0.114073,0.115482,0.114088,0.115561,0.115515,0.115429,0.115286,0.115671,0.11209,0.115497,0.11551,0.116594,0.115425,0.115703,0.115579,0.115692,0.113304,0.115404,0.115509,0.114917,0.115727,0.116605,0.115004,0.115863,0.112738,0.115723,0.115517,0.115712,0.115393,0.113867,0.111986,0.115452,0.115544,0.115274,0.115362,0.1151,0.116037,0.115561,0.114924,0.112448,0.116318,0.115608,0.115563,0.115639,0.115662,0.115478,0.115646,0.115619,0.115249,0.115264,0.115307,0.115393,0.115505
SDSEyeProtectionClassification,0.6473,0.6464,0.6471,0.64815,0.64665,0.64795,0.6483,0.64705,0.64775,0.64705,0.64715,0.64775,0.6472,0.6469,0.648,0.6455,0.64705,0.6458,0.6461,0.64645,0.647,0.64555,0.64925,0.6474,0.6462,0.64685,0.64625,0.6468,0.64655,0.64585,0.64875,0.64725,0.64745,0.6473,0.64765,0.648,0.64855,0.64655,0.6461,0.64595,0.64615,0.6479,0.64625,0.6472,0.64725,0.6484,0.6473,0.6469,0.64645,0.64685,0.6473,0.64695,0.6469,0.64645,0.64615,0.64695,0.6471,0.64675,0.6471
WikipediaOrganicInorganicClassification,0.867681,0.868061,0.868441,0.867681,0.867681,0.8673,0.8673,0.868061,0.867681,0.8673,0.868441,0.868061,0.8673,0.867681,0.867681,0.867681,0.867681,0.868061,0.8673,0.868441,0.867681,0.868441,0.86692,0.867681,0.868061,0.867681,0.868441,0.868441,0.868061,0.867681,0.867681,0.867681,0.867681,0.8673,0.867681,0.867681,0.8673,0.8673,0.868061,0.8673,0.868061,0.867681,0.868061,0.867681,0.868061,0.86692,0.867681,0.868061,0.86692,0.867681,0.868061,0.867681,0.868441,0.867681,0.867681,0.867681,0.868061,0.868061,0.868061
PubChemSMILESBitextMining,0.000948,0.001063,0.001115,0.000955,0.001115,0.000952,0.000969,0.000902,0.000948,0.001114,0.001043,0.000951,0.000946,0.001062,0.001025,0.00104,0.001045,0.000923,0.001069,0.001041,0.001069,0.001063,0.000998,0.001067,0.001067,0.000946,0.000949,0.001111,0.000998,0.00104,0.001003,0.001115,0.00095,0.001068,0.000953,0.00095,0.001007,0.001112,0.000922,0.001069,0.001113,0.000954,0.001043,0.001042,0.00093,0.000992,0.001068,0.001064,0.000969,0.001041,0.000896,0.00107,0.001036,0.000972,0.001068,0.001002,0.001044,0.001063,0.001066
WikipediaSpecialtiesInChemistryClustering,0.439774,0.443928,0.442285,0.44315,0.441312,0.425739,0.428373,0.439774,0.44315,0.44482,0.442285,0.439774,0.441393,0.441393,0.439718,0.443266,0.441373,0.443193,0.443151,0.44379,0.44156,0.438936,0.440551,0.44379,0.44379,0.428373,0.441373,0.438936,0.439774,0.445399,0.441433,0.448071,0.44156,0.445642,0.439774,0.440408,0.442265,0.439084,0.447542,0.441373,0.448071,0.441373,0.443266,0.443266,0.435803,0.441373,0.448071,0.441613,0.445399,0.44306,0.443266,0.440554,0.443266,0.44379,0.44379,0.439774,0.442265,0.443266,0.439774
