,epoch_1,epoch_2,epoch_7,epoch_3,epoch_5,epoch_6,epoch_4,epoch_0,epoch_9,epoch_8
SDSGlovesClassification,0.62295,0.616,0.60635,0.61185,0.6089,0.60695,0.60915,0.63165,0.60555,0.60585
WikipediaIsotopesFissionClassification,0.884524,0.882143,0.880952,0.879762,0.884524,0.884524,0.883333,0.897619,0.882143,0.882143
PubChemSynonymPC,0.685451,0.693834,0.702551,0.700739,0.70184,0.702543,0.702543,0.686214,0.70279,0.702372
WikipediaCrystallographyAnalyticalClassification,0.952921,0.947766,0.953265,0.95189,0.952921,0.953608,0.952921,0.962887,0.953608,0.953265
WikipediaSaltsSemiconductorsClassification,0.855556,0.855556,0.848485,0.846465,0.850505,0.848485,0.850505,0.865657,0.847475,0.848485
PubChemSMILESPC,0.117161,0.114209,0.114809,0.114025,0.115389,0.115428,0.115013,0.122001,0.115089,0.115329
SDSEyeProtectionClassification,0.6533,0.65965,0.661,0.66165,0.6607,0.6613,0.66095,0.64175,0.661,0.66195
WikipediaOrganicInorganicClassification,0.878707,0.876426,0.874905,0.876426,0.876046,0.875285,0.875665,0.873764,0.874905,0.874905
PubChemSMILESBitextMining,0.000786,0.001072,0.001072,0.000834,0.000905,0.001071,0.000794,0.000635,0.001066,0.001048
WikipediaSpecialtiesInChemistryClustering,0.301605,0.277997,0.391238,0.203805,0.008497,0.083596,0.015783,0.296003,0.386382,0.383226
ChemHotpotQARetrieval,0.78061,0.78855,0.68642,0.79233,0.69751,0.69056,0.71627,0.75278,0.68345,0.68642
WikipediaBioMetChemClassification,0.982158,0.981984,0.983551,0.982332,0.983116,0.983116,0.982768,0.980679,0.983377,0.983551
WikipediaCryobiologySeparationClassification,0.930472,0.925322,0.92618,0.927897,0.928326,0.926609,0.927468,0.933476,0.92618,0.927039
WikipediaChemistryTopicsClassification,0.86247,0.85962,0.867696,0.864371,0.868646,0.868884,0.867933,0.876722,0.868171,0.868884
PubChemWikiParagraphsPC,0.328431,0.31254,0.326474,0.326879,0.329807,0.327714,0.335558,0.410537,0.32641,0.326174
WikipediaBiolumNeurochemClassification,0.968367,0.971429,0.971429,0.971429,0.971429,0.971429,0.972449,0.967347,0.971429,0.970408
ChemNQRetrieval,0.51501,0.51066,0.49098,0.49854,0.48608,0.48818,0.48879,0.55054,0.48914,0.48801
WikipediaSolidStateColloidalClassification,0.794369,0.787838,0.791441,0.788514,0.78964,0.791216,0.791216,0.807432,0.79009,0.790766
PubChemAISentenceParaphrasePC,0.939705,0.94318,0.946705,0.943933,0.945749,0.94652,0.944541,0.929055,0.946665,0.946827
WikipediaTheoreticalAppliedClassification,0.618372,0.61168,0.611825,0.610428,0.610857,0.611397,0.610514,0.622074,0.61156,0.611602
WikipediaChemFieldsClassification,0.476525,0.467475,0.471994,0.467744,0.470987,0.471713,0.469758,0.481431,0.471865,0.471584
WikipediaChemEngSpecialtiesClassification,0.758871,0.732258,0.700806,0.720161,0.704032,0.704032,0.707258,0.779032,0.698387,0.698387
WikipediaGreenhouseEnantiopureClassification,0.960965,0.961404,0.964912,0.961842,0.964474,0.964912,0.964912,0.963158,0.964474,0.964035
PubChemWikiPairClassification,0.978051,0.982775,0.986768,0.986505,0.986559,0.986833,0.986442,0.987662,0.98716,0.987192
WikipediaCompChemSpectroscopyClassification,0.766063,0.751584,0.70905,0.734842,0.713122,0.712217,0.715837,0.770136,0.708145,0.708597
WikipediaChemistryTopicsClustering,0.675493,0.683152,0.70843,0.714834,0.669881,0.699043,0.683174,0.753327,0.691417,0.718224
WikipediaLuminescenceClassification,0.912195,0.906098,0.902439,0.903659,0.902439,0.902439,0.90122,0.913415,0.90122,0.902439
