,step_432,step_378,epoch_1,epoch_2,step_756,step_324,epoch_7,step_702,step_648,step_54,step_216,step_918,step_1026,epoch_3,step_810,epoch_5,step_162,epoch_6,epoch_4,step_270,epoch_0,step_972,step_540,step_486,step_108,epoch_9,step_594,epoch_8,step_864
SDSGlovesClassification,0.6775,0.67795,0.6844,0.6785,0.68505,0.678,0.68575,0.68005,0.683,0.678,0.6857,0.6844,0.6858,0.67815,0.68545,0.682,0.6824,0.6842,0.6793,0.6802,0.6792,0.6865,0.68105,0.6785,0.6791,0.6864,0.68315,0.68475,0.68505
WikipediaIsotopesFissionClassification,0.871429,0.87381,0.878571,0.87381,0.87381,0.87619,0.875,0.867857,0.871429,0.892857,0.877381,0.872619,0.872619,0.872619,0.87381,0.871429,0.879762,0.875,0.87619,0.875,0.885714,0.872619,0.870238,0.869048,0.886905,0.872619,0.870238,0.871429,0.872619
PubChemSynonymPC,0.680535,0.683819,0.685305,0.682647,0.681505,0.682871,0.677427,0.680822,0.67987,0.673539,0.683798,0.67867,0.678003,0.680012,0.679206,0.681615,0.677265,0.680997,0.681586,0.685697,0.683075,0.678142,0.685308,0.682589,0.684079,0.677741,0.682918,0.677303,0.677711
WikipediaCrystallographyAnalyticalClassification,0.932302,0.932646,0.942268,0.937113,0.925086,0.934708,0.921649,0.923368,0.927491,0.956357,0.943299,0.921649,0.9189,0.932302,0.921649,0.928179,0.945704,0.926117,0.932302,0.937457,0.949828,0.919931,0.930584,0.932302,0.947766,0.920275,0.927835,0.920619,0.921306
WikipediaSaltsSemiconductorsClassification,0.857576,0.858586,0.857576,0.863636,0.854545,0.864646,0.853535,0.857576,0.858586,0.859596,0.860606,0.854545,0.853535,0.861616,0.852525,0.856566,0.857576,0.852525,0.863636,0.863636,0.856566,0.852525,0.857576,0.864646,0.857576,0.852525,0.861616,0.852525,0.853535
PubChemSMILESPC,0.121304,0.120461,0.120054,0.121382,0.124178,0.121288,0.124697,0.125359,0.124534,0.115908,0.119637,0.125248,0.125537,0.121606,0.124788,0.123947,0.120216,0.124042,0.121703,0.120129,0.122073,0.125299,0.120822,0.12326,0.121578,0.12574,0.123529,0.125251,0.125077
SDSEyeProtectionClassification,0.6582,0.66065,0.67045,0.6697,0.64515,0.66975,0.6381,0.6438,0.6424,0.66835,0.6724,0.63545,0.635,0.6626,0.6396,0.64365,0.6673,0.6407,0.65455,0.66935,0.67525,0.63545,0.65335,0.6537,0.6734,0.63475,0.64975,0.6364,0.6398
WikipediaOrganicInorganicClassification,0.862357,0.860837,0.864639,0.865779,0.855894,0.863878,0.857034,0.858555,0.859696,0.864639,0.86692,0.857414,0.858175,0.863118,0.859316,0.859696,0.867681,0.857034,0.861597,0.867681,0.865019,0.857034,0.861217,0.863118,0.864259,0.855894,0.862738,0.857414,0.858175
PubChemSMILESBitextMining,0.000688,0.000922,0.000505,0.000738,0.001033,0.000724,0.00095,0.001096,0.001086,0.001197,0.00056,0.000995,0.00099,0.000725,0.000992,0.00106,0.001187,0.000953,0.000877,0.001052,0.001012,0.001053,0.000853,0.00114,0.000884,0.000996,0.000818,0.00105,0.001004
WikipediaSpecialtiesInChemistryClustering,0.324036,0.310842,0.326923,0.291528,0.351902,0.310804,0.352734,0.290027,0.275581,0.247651,0.328217,0.264471,0.273888,0.31064,0.291685,0.272019,0.325772,0.290585,0.302938,0.325749,0.361549,0.279237,0.29631,0.293399,0.346656,0.256985,0.280923,0.270405,0.263928
