,epoch_1,epoch_2,step_192,epoch_7,step_224,step_32,step_256,epoch_3,epoch_5,epoch_6,step_512,step_288,epoch_4,step_160,step_64,epoch_0,step_384,step_544,step_576,step_448,epoch_9,step_320,step_128,step_352,step_416,step_96,epoch_8
SDSGlovesClassification,0.60475,0.59315,0.5907,0.6013,0.5967,0.62645,0.60005,0.5962,0.603,0.60175,0.60005,0.59865,0.59775,0.5962,0.6049,0.6053,0.5998,0.59985,0.59955,0.6017,0.59985,0.5983,0.60165,0.59825,0.60315,0.60825,0.60035
WikipediaIsotopesFissionClassification,0.880952,0.889286,0.890476,0.890476,0.889286,0.886905,0.894048,0.894048,0.892857,0.895238,0.891667,0.892857,0.892857,0.882143,0.87619,0.880952,0.892857,0.891667,0.891667,0.892857,0.892857,0.894048,0.883333,0.892857,0.892857,0.882143,0.891667
PubChemSynonymPC,0.711047,0.712057,0.720077,0.722996,0.723101,0.668448,0.722544,0.720689,0.720913,0.723654,0.724176,0.720935,0.722387,0.711416,0.7045,0.700859,0.723672,0.723499,0.723737,0.724233,0.723834,0.724736,0.712624,0.721184,0.722894,0.708969,0.723391
WikipediaCrystallographyAnalyticalClassification,0.953265,0.948797,0.948454,0.949485,0.94811,0.953952,0.950859,0.948454,0.949485,0.950515,0.949828,0.94811,0.950172,0.950172,0.942955,0.942268,0.948797,0.949485,0.949828,0.949141,0.949141,0.949141,0.952577,0.949485,0.950172,0.949828,0.949141
WikipediaSaltsSemiconductorsClassification,0.857576,0.849495,0.844444,0.855556,0.848485,0.865657,0.850505,0.845455,0.848485,0.852525,0.853535,0.851515,0.853535,0.849495,0.843434,0.849495,0.849495,0.855556,0.856566,0.852525,0.854545,0.851515,0.857576,0.849495,0.853535,0.850505,0.855556
PubChemSMILESPC,0.116748,0.109624,0.111174,0.107734,0.108917,0.115947,0.106236,0.106972,0.105212,0.107901,0.107558,0.10522,0.107993,0.112459,0.116614,0.115593,0.106605,0.107583,0.107728,0.108394,0.10786,0.10829,0.115483,0.105471,0.107788,0.113739,0.107687
SDSEyeProtectionClassification,0.689,0.68465,0.68015,0.6864,0.68365,0.6506,0.69015,0.68965,0.6835,0.6873,0.68795,0.6954,0.68775,0.6771,0.6668,0.66825,0.69205,0.68735,0.6869,0.689,0.68665,0.6896,0.6886,0.6882,0.6887,0.6775,0.68715
WikipediaOrganicInorganicClassification,0.865779,0.863498,0.861597,0.863118,0.861977,0.879848,0.865399,0.865019,0.8673,0.86616,0.863878,0.861597,0.863498,0.861597,0.868821,0.871483,0.863498,0.865019,0.863498,0.863118,0.864639,0.861597,0.868441,0.86654,0.864639,0.860456,0.863878
PubChemSMILESBitextMining,0.000515,0.000788,0.000764,0.000965,0.001044,0.000659,0.000808,0.000842,0.000991,0.000969,0.000956,0.000837,0.000788,0.000858,0.000684,0.000937,0.000838,0.000992,0.000977,0.000907,0.000842,0.000674,0.000703,0.000828,0.00087,0.000685,0.000831
WikipediaSpecialtiesInChemistryClustering,0.123778,0.123472,0.003047,0.030657,0.006114,0.334543,0.002876,0.00578,0.005693,0.005064,0.004614,0.005587,0.005261,0.065502,0.058409,0.076636,0.005233,0.005328,0.004614,0.005458,0.004692,0.005144,0.045037,0.005625,0.005064,0.003367,0.004614
ChemHotpotQARetrieval,0.80111,0.78505,0.81283,0.81084,0.81283,0.749,0.82889,0.82889,0.81084,0.81084,0.81084,0.81283,0.79233,0.78505,0.80905,0.80905,0.81084,0.81084,0.81084,0.81084,0.81084,0.80985,0.79233,0.81084,0.81084,0.79459,0.81084
