,epoch_1,epoch_2,step_192,step_224,step_32,step_256,epoch_3,step_288,epoch_4,step_160,step_64,epoch_0,step_128,step_96
SDSGlovesClassification,0.63645,0.63645,0.63645,0.63645,0.63645,0.63645,0.63645,0.63645,0.63645,0.63645,0.63645,0.63645,0.63645,0.63645
WikipediaIsotopesFissionClassification,0.896429,0.896429,0.896429,0.896429,0.896429,0.896429,0.896429,0.896429,0.896429,0.896429,0.896429,0.896429,0.896429,0.896429
PubChemSynonymPC,0.688964,0.688964,0.688964,0.688964,0.688964,0.688964,0.688964,0.688964,0.688964,0.688964,0.688964,0.688964,0.688964,0.688964
WikipediaCrystallographyAnalyticalClassification,0.962887,0.962887,0.962887,0.962887,0.962887,0.962887,0.962887,0.962887,0.962887,0.962887,0.962887,0.962887,0.962887,0.962887
WikipediaSaltsSemiconductorsClassification,0.862626,0.862626,0.862626,0.862626,0.862626,0.862626,0.862626,0.862626,0.862626,0.862626,0.862626,0.862626,0.862626,0.862626
PubChemSMILESPC,0.123341,0.123341,0.123341,0.123341,0.123341,0.123341,0.123341,0.123341,0.123341,0.123341,0.123341,0.123341,0.123341,0.123341
SDSEyeProtectionClassification,0.64355,0.64355,0.64355,0.64355,0.64355,0.64355,0.64355,0.64355,0.64355,0.64355,0.64355,0.64355,0.64355,0.64355
WikipediaOrganicInorganicClassification,0.86654,0.86654,0.86654,0.86654,0.86654,0.86654,0.86654,0.86654,0.86654,0.86654,0.86654,0.86654,0.86654,0.86654
PubChemSMILESBitextMining,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696,0.000696
WikipediaSpecialtiesInChemistryClustering,0.361512,0.361512,0.361512,0.361512,0.361512,0.361512,0.361512,0.361512,0.361512,0.361512,0.361512,0.361512,0.361512,0.361512
ChemHotpotQARetrieval,0.75211,0.75211,0.75211,0.75211,0.75211,0.75211,0.75211,0.75211,0.75211,0.75211,0.75211,0.75211,0.75211,0.75211
WikipediaBioMetChemClassification,0.978068,0.978068,0.978068,0.978068,0.978068,0.978068,0.978068,0.978068,0.978068,0.978068,0.978068,0.978068,0.978068,0.978068
WikipediaCryobiologySeparationClassification,0.932189,0.932189,0.932189,0.932189,0.932189,0.932189,0.932189,0.932189,0.932189,0.932189,0.932189,0.932189,0.932189,0.932189
WikipediaChemistryTopicsClassification,0.881948,0.881948,0.881948,0.881948,0.881948,0.881948,0.881948,0.881948,0.881948,0.881948,0.881948,0.881948,0.881948,0.881948
PubChemWikiParagraphsPC,0.447577,0.447577,0.447577,0.447577,0.447577,0.447577,0.447577,0.447577,0.447577,0.447577,0.447577,0.447577,0.447577,0.447577
WikipediaBiolumNeurochemClassification,0.967347,0.967347,0.967347,0.967347,0.967347,0.967347,0.967347,0.967347,0.967347,0.967347,0.967347,0.967347,0.967347,0.967347
ChemNQRetrieval,0.55039,0.55039,0.55039,0.55039,0.55039,0.55039,0.55039,0.55039,0.55039,0.55039,0.55039,0.55039,0.55039,0.55039
WikipediaSolidStateColloidalClassification,0.806081,0.806081,0.806081,0.806081,0.806081,0.806081,0.806081,0.806081,0.806081,0.806081,0.806081,0.806081,0.806081,0.806081
PubChemAISentenceParaphrasePC,0.923055,0.923055,0.923055,0.923055,0.923055,0.923055,0.923055,0.923055,0.923055,0.923055,0.923055,0.923055,0.923055,0.923055
WikipediaTheoreticalAppliedClassification,0.616787,0.616787,0.616787,0.616787,0.616787,0.616787,0.616787,0.616787,0.616787,0.616787,0.616787,0.616787,0.616787,0.616787
WikipediaChemFieldsClassification,0.473539,0.473539,0.473539,0.473539,0.473539,0.473539,0.473539,0.473539,0.473539,0.473539,0.473539,0.473539,0.473539,0.473539
WikipediaChemEngSpecialtiesClassification,0.779839,0.779839,0.779839,0.779839,0.779839,0.779839,0.779839,0.779839,0.779839,0.779839,0.779839,0.779839,0.779839,0.779839
WikipediaGreenhouseEnantiopureClassification,0.958772,0.958772,0.958772,0.958772,0.958772,0.958772,0.958772,0.958772,0.958772,0.958772,0.958772,0.958772,0.958772,0.958772
PubChemWikiPairClassification,0.990779,0.990779,0.990779,0.990779,0.990779,0.990779,0.990779,0.990779,0.990779,0.990779,0.990779,0.990779,0.990779,0.990779
WikipediaCompChemSpectroscopyClassification,0.763801,0.763801,0.763801,0.763801,0.763801,0.763801,0.763801,0.763801,0.763801,0.763801,0.763801,0.763801,0.763801,0.763801
WikipediaChemistryTopicsClustering,0.771336,0.771336,0.771336,0.771336,0.771336,0.771336,0.771336,0.771336,0.771336,0.771336,0.771336,0.771336,0.771336,0.771336
WikipediaLuminescenceClassification,0.908537,0.908537,0.908537,0.908537,0.908537,0.908537,0.908537,0.908537,0.908537,0.908537,0.908537,0.908537,0.908537,0.908537
