,epoch_1,step_32,step_64,epoch_0,step_96
SDSGlovesClassification,0.618,0.618,0.618,0.618,0.618
WikipediaIsotopesFissionClassification,0.895238,0.895238,0.895238,0.895238,0.895238
PubChemSynonymPC,0.678023,0.678023,0.678023,0.678023,0.678023
WikipediaCrystallographyAnalyticalClassification,0.965979,0.965979,0.965979,0.965979,0.965979
WikipediaSaltsSemiconductorsClassification,0.863636,0.863636,0.863636,0.863636,0.863636
PubChemSMILESPC,0.124157,0.124157,0.124157,0.124157,0.124157
SDSEyeProtectionClassification,0.67725,0.67725,0.67725,0.67725,0.67725
WikipediaOrganicInorganicClassification,0.874525,0.874525,0.874525,0.874525,0.874525
PubChemSMILESBitextMining,0.000696,0.000696,0.000696,0.000696,0.000696
WikipediaSpecialtiesInChemistryClustering,0.361512,0.361512,0.361512,0.361512,0.361512
ChemHotpotQARetrieval,0.75211,0.75211,0.75211,0.75211,0.75211
WikipediaBioMetChemClassification,0.979983,0.979983,0.979983,0.979983,0.979983
WikipediaCryobiologySeparationClassification,0.935622,0.935622,0.935622,0.935622,0.935622
WikipediaChemistryTopicsClassification,0.87981,0.87981,0.87981,0.87981,0.87981
PubChemWikiParagraphsPC,0.447977,0.447977,0.447977,0.447977,0.447977
WikipediaBiolumNeurochemClassification,0.970408,0.970408,0.970408,0.970408,0.970408
ChemNQRetrieval,0.55039,0.55039,0.55039,0.55039,0.55039
WikipediaSolidStateColloidalClassification,0.809685,0.809685,0.809685,0.809685,0.809685
PubChemAISentenceParaphrasePC,0.923364,0.923364,0.923364,0.923364,0.923364
WikipediaTheoreticalAppliedClassification,0.622331,0.622331,0.622331,0.622331,0.622331
WikipediaChemFieldsClassification,0.488222,0.488222,0.488222,0.488222,0.488222
WikipediaChemEngSpecialtiesClassification,0.773387,0.773387,0.773387,0.773387,0.773387
WikipediaGreenhouseEnantiopureClassification,0.963158,0.963158,0.963158,0.963158,0.963158
PubChemWikiPairClassification,0.989972,0.989972,0.989972,0.989972,0.989972
WikipediaCompChemSpectroscopyClassification,0.770136,0.770136,0.770136,0.770136,0.770136
WikipediaChemistryTopicsClustering,0.771336,0.771336,0.771336,0.771336,0.771336
WikipediaLuminescenceClassification,0.891463,0.891463,0.891463,0.891463,0.891463
