,step_345,epoch_1,epoch_2,epoch_7,step_575,step_1725,step_1955,step_1840,step_1150,step_460,step_2070,epoch_3,step_115,step_1380,epoch_5,step_920,step_2185,step_2300,step_1035,epoch_6,epoch_4,epoch_0,step_1265,step_805,step_1610,epoch_9,step_690,step_230,step_1495,epoch_8
SDSGlovesClassification,0.5972,0.5924,0.5827,0.57385,0.58695,0.5727,0.5724,0.57545,0.57485,0.59385,0.57115,0.57835,0.61595,0.57405,0.5735,0.5775,0.5728,0.57125,0.5732,0.57575,0.5742,0.60615,0.57345,0.5807,0.57395,0.5712,0.58335,0.60615,0.57405,0.5727
WikipediaIsotopesFissionClassification,0.885714,0.878571,0.879762,0.880952,0.878571,0.878571,0.879762,0.878571,0.87619,0.879762,0.879762,0.87619,0.896429,0.880952,0.879762,0.87619,0.878571,0.880952,0.878571,0.878571,0.877381,0.894048,0.877381,0.878571,0.879762,0.878571,0.878571,0.894048,0.878571,0.880952
PubChemSynonymPC,0.669473,0.700756,0.72216,0.742513,0.713455,0.743102,0.742784,0.74246,0.739479,0.700022,0.742641,0.737559,0.669732,0.742595,0.743459,0.737229,0.743491,0.743443,0.740174,0.742309,0.739748,0.652415,0.743119,0.731599,0.741952,0.743445,0.722387,0.652415,0.741616,0.742753
WikipediaCrystallographyAnalyticalClassification,0.947766,0.950515,0.953608,0.954296,0.953952,0.953952,0.953952,0.954296,0.953952,0.950515,0.954296,0.954296,0.966667,0.953608,0.954983,0.953608,0.954296,0.954296,0.954983,0.953952,0.954296,0.952921,0.953952,0.953608,0.954296,0.954296,0.954296,0.952921,0.953952,0.954639
WikipediaSaltsSemiconductorsClassification,0.866667,0.871717,0.869697,0.870707,0.872727,0.870707,0.869697,0.871717,0.871717,0.870707,0.871717,0.873737,0.866667,0.869697,0.871717,0.873737,0.870707,0.870707,0.871717,0.871717,0.871717,0.864646,0.872727,0.870707,0.871717,0.870707,0.870707,0.864646,0.871717,0.869697
PubChemSMILESPC,0.1352,0.139948,0.146607,0.190351,0.144028,0.189285,0.191897,0.190926,0.17391,0.140576,0.192979,0.166334,0.129319,0.181533,0.182103,0.165125,0.191297,0.192193,0.16766,0.186125,0.174646,0.138058,0.177435,0.155158,0.185468,0.192044,0.146498,0.138058,0.183571,0.192635
SDSEyeProtectionClassification,0.705,0.70415,0.69775,0.67705,0.69975,0.67845,0.67755,0.6777,0.687,0.7057,0.67795,0.6877,0.6802,0.67965,0.67585,0.6858,0.67835,0.67955,0.6853,0.67805,0.6832,0.69405,0.6795,0.6957,0.6803,0.678,0.69775,0.69405,0.6808,0.6768
WikipediaOrganicInorganicClassification,0.88251,0.877567,0.879087,0.879848,0.878327,0.879848,0.877567,0.878707,0.879848,0.876806,0.877947,0.879468,0.880228,0.878327,0.879087,0.880608,0.879468,0.879087,0.880989,0.879848,0.879468,0.885171,0.879087,0.880989,0.879848,0.878707,0.879468,0.885171,0.879468,0.878707
PubChemSMILESBitextMining,0.001142,0.001386,0.001675,0.001996,0.001354,0.001988,0.002096,0.001965,0.001903,0.001344,0.001976,0.001737,0.000837,0.001982,0.001982,0.001868,0.002115,0.001983,0.001886,0.001965,0.00229,0.001258,0.002065,0.001714,0.002184,0.00198,0.001636,0.001258,0.001998,0.001992
WikipediaSpecialtiesInChemistryClustering,0.264385,0.292175,0.404086,0.364848,0.420241,0.383375,0.377527,0.377064,0.377527,0.287046,0.36911,0.390372,0.298417,0.381455,0.410893,0.390372,0.372004,0.377527,0.385399,0.378086,0.3804,0.401637,0.411611,0.391443,0.383274,0.377582,0.419789,0.401637,0.404514,0.347021
ChemHotpotQARetrieval,0.74714,0.74543,0.73743,0.73266,0.73986,0.73266,0.732,0.73266,0.73445,0.74416,0.73266,0.73573,0.75278,0.73266,0.73346,0.73573,0.73266,0.73266,0.73573,0.732,0.73266,0.7607,0.73346,0.73573,0.73266,0.73266,0.73573,0.7607,0.73266,0.73266
