,step_238,epoch_1,epoch_2,step_34,epoch_3,epoch_4,epoch_0,step_306,step_170,step_102
SDSGlovesClassification,0.6214,0.62595,0.62155,0.6316,0.62045,0.61955,0.6296,0.62045,0.623,0.62825
WikipediaIsotopesFissionClassification,0.885714,0.888095,0.884524,0.894048,0.885714,0.885714,0.896429,0.885714,0.888095,0.891667
PubChemSynonymPC,0.67426,0.675833,0.674338,0.687308,0.674015,0.674139,0.682339,0.673836,0.674666,0.67876
WikipediaCrystallographyAnalyticalClassification,0.945704,0.952921,0.949141,0.962199,0.945704,0.945017,0.961856,0.945017,0.950515,0.958763
WikipediaSaltsSemiconductorsClassification,0.858586,0.863636,0.858586,0.863636,0.855556,0.856566,0.863636,0.855556,0.861616,0.862626
PubChemSMILESPC,0.116787,0.117334,0.116819,0.121934,0.1166,0.116432,0.119669,0.116451,0.116852,0.11868
SDSEyeProtectionClassification,0.6528,0.64615,0.6526,0.6407,0.6539,0.6544,0.6425,0.6537,0.65065,0.64285
WikipediaOrganicInorganicClassification,0.876046,0.877186,0.874905,0.870342,0.875285,0.874525,0.876046,0.874525,0.875285,0.875285
PubChemSMILESBitextMining,0.000668,0.000598,0.000734,0.000661,0.000767,0.000707,0.000688,0.000681,0.000637,0.000599
WikipediaSpecialtiesInChemistryClustering,0.285053,0.33554,0.299708,0.292279,0.279402,0.278582,0.292481,0.275922,0.417321,0.259257
ChemHotpotQARetrieval,0.81421,0.82,0.8141266666666667,0.8168066666666667,0.81421,0.8164233333333334,0.81823,0.81655,0.8198266666666667,0.8187966666666667
WikipediaBioMetChemClassification,0.978503,0.979721,0.97859,0.979025,0.978329,0.978242,0.980592,0.978416,0.979112,0.979896
WikipediaCryobiologySeparationClassification,0.923176,0.929185,0.923176,0.932618,0.923605,0.922747,0.930901,0.922747,0.92618,0.929614
WikipediaChemistryTopicsClassification,0.856057,0.864608,0.857007,0.87886,0.854869,0.855582,0.873634,0.85677,0.859382,0.869359
PubChemWikiParagraphsPC,0.305075,0.342056,0.310578,0.433327,0.299948,0.297342,0.402516,0.29728,0.323456,0.370899
WikipediaBiolumNeurochemClassification,0.962245,0.966327,0.964286,0.967347,0.962245,0.962245,0.967347,0.962245,0.966327,0.966327
ChemNQRetrieval,0.53641,0.5506,0.5349,0.55266,0.53755,0.53755,0.58791,0.53703,0.53759,0.55921
WikipediaSolidStateColloidalClassification,0.787613,0.799775,0.788739,0.808108,0.786712,0.78536,0.809009,0.786036,0.793243,0.805405
PubChemAISentenceParaphrasePC,0.946142,0.940175,0.945263,0.92608,0.946957,0.947157,0.931308,0.947067,0.943559,0.935681
WikipediaTheoreticalAppliedClassification,0.61557,0.620677,0.616538,0.620077,0.615039,0.614696,0.622896,0.614696,0.617961,0.622485
WikipediaChemFieldsClassification,0.46854,0.476361,0.470085,0.478106,0.467463,0.467182,0.480869,0.467568,0.472333,0.479557
WikipediaChemEngSpecialtiesClassification,0.745161,0.770968,0.75,0.779839,0.743548,0.742742,0.783065,0.742742,0.76129,0.775806
WikipediaGreenhouseEnantiopureClassification,0.963596,0.964035,0.962281,0.962281,0.963158,0.963158,0.964035,0.963158,0.962719,0.963596
PubChemWikiPairClassification,0.976645,0.978359,0.976649,0.98938,0.97662,0.976499,0.984191,0.976648,0.977313,0.980072
WikipediaCompChemSpectroscopyClassification,0.765158,0.777828,0.768778,0.770136,0.765158,0.763801,0.777828,0.764706,0.769683,0.779186
WikipediaChemistryTopicsClustering,0.674192,0.695497,0.670814,0.768033,0.66891,0.686872,0.75315,0.691424,0.680692,0.70337
WikipediaLuminescenceClassification,0.912195,0.909756,0.909756,0.912195,0.910976,0.912195,0.913415,0.906098,0.910976,0.909756
