,step_592,epoch_0,step_1776,step_1184,step_2368
SDSGlovesClassification,0.6742,0.6598,0.65805,0.66485,0.6595
WikipediaIsotopesFissionClassification,0.889286,0.889286,0.886905,0.883333,0.889286
PubChemSynonymPC,0.596391,0.590387,0.580556,0.576811,0.594945
WikipediaCrystallographyAnalyticalClassification,0.95189,0.961856,0.960481,0.968729,0.962887
WikipediaSaltsSemiconductorsClassification,0.857576,0.864646,0.867677,0.861616,0.864646
PubChemSMILESPC,0.118412,0.109354,0.111484,0.110826,0.108934
SDSEyeProtectionClassification,0.74415,0.70495,0.721,0.7385,0.70575
WikipediaOrganicInorganicClassification,0.856274,0.876046,0.877947,0.877186,0.877186
PubChemSMILESBitextMining,0.000924,0.00063,0.000492,0.000257,0.000643
WikipediaSpecialtiesInChemistryClustering,0.076647,0.212137,0.210287,0.066114,0.206797
ChemHotpotQARetrieval,0.21371333333333334,0.48667,0.33226333333333335,0.32086333333333333,0.49002
WikipediaBioMetChemClassification,0.989034,0.990949,0.991036,0.989295,0.99121
WikipediaCryobiologySeparationClassification,0.914163,0.923176,0.921459,0.916738,0.924464
WikipediaChemistryTopicsClassification,0.835629,0.85677,0.854632,0.852494,0.857482
PubChemWikiParagraphsPC,0.19956,0.189664,0.184665,0.211061,0.192888
WikipediaBiolumNeurochemClassification,0.95102,0.964286,0.960204,0.954082,0.964286
ChemNQRetrieval,0.20772,0.38887,0.36025,0.30941,0.40551
WikipediaSolidStateColloidalClassification,0.788288,0.79482,0.792117,0.795946,0.795721
PubChemAISentenceParaphrasePC,0.922679,0.925174,0.920863,0.923595,0.925882
WikipediaTheoreticalAppliedClassification,0.63916,0.647292,0.647584,0.639572,0.647678
WikipediaChemFieldsClassification,0.499883,0.518382,0.519564,0.512399,0.518815
WikipediaChemEngSpecialtiesClassification,0.678226,0.733065,0.727419,0.739516,0.732258
WikipediaGreenhouseEnantiopureClassification,0.954825,0.965789,0.962719,0.961842,0.966667
PubChemWikiPairClassification,0.597094,0.727119,0.701329,0.653783,0.744105
WikipediaCompChemSpectroscopyClassification,0.738914,0.767421,0.765158,0.756561,0.769683
WikipediaChemistryTopicsClustering,0.577469,0.607093,0.621036,0.605424,0.603404
WikipediaLuminescenceClassification,0.884146,0.906098,0.907317,0.884146,0.906098
