,epoch_1,epoch_2,step_76,step_38,step_133,epoch_3,step_19,step_171,epoch_4,epoch_0,step_57,step_95,step_152,step_114
SDSGlovesClassification,0.688,0.689,0.6873,0.6821,0.68925,0.6894,0.67695,0.6894,0.68885,0.68055,0.6844,0.689,0.68875,0.68785
WikipediaIsotopesFissionClassification,0.903571,0.904762,0.903571,0.904762,0.907143,0.909524,0.903571,0.910714,0.911905,0.904762,0.904762,0.904762,0.910714,0.904762
PubChemSynonymPC,0.591818,0.574477,0.589981,0.620804,0.576682,0.576246,0.640982,0.577326,0.577737,0.623582,0.605266,0.578369,0.576772,0.575034
WikipediaCrystallographyAnalyticalClassification,0.96323,0.95945,0.962543,0.963918,0.95945,0.958763,0.964605,0.958763,0.958763,0.963918,0.964261,0.960137,0.959794,0.959794
WikipediaSaltsSemiconductorsClassification,0.878788,0.876768,0.876768,0.878788,0.875758,0.875758,0.874747,0.874747,0.873737,0.879798,0.878788,0.877778,0.875758,0.875758
PubChemSMILESPC,0.106683,0.106392,0.106929,0.108848,0.10538,0.105269,0.114806,0.104959,0.105006,0.109174,0.107753,0.106057,0.105267,0.105635
SDSEyeProtectionClassification,0.6665,0.67195,0.66845,0.6592,0.6743,0.67585,0.65795,0.6771,0.67625,0.6604,0.6631,0.67155,0.67625,0.6723
WikipediaOrganicInorganicClassification,0.881369,0.881369,0.880608,0.879848,0.880228,0.879468,0.880228,0.878707,0.879848,0.880608,0.879087,0.880989,0.879087,0.880989
PubChemSMILESBitextMining,0.00172,0.000991,0.001612,0.001652,0.000913,0.000913,0.001296,0.000865,0.000867,0.00158,0.001885,0.001046,0.000878,0.000994
WikipediaSpecialtiesInChemistryClustering,0.249381,0.104272,0.228602,0.393584,0.099644,0.099644,0.443996,0.099644,0.099644,0.408686,0.267503,0.109084,0.099644,0.101173
ChemHotpotQARetrieval,0.7776266666666667,0.6957300000000001,0.7590033333333334,0.8776533333333333,0.6898866666666666,0.67166,0.8876233333333333,0.66155,0.6572333333333333,0.8667566666666666,0.8316600000000001,0.70759,0.67378,0.69394
WikipediaBioMetChemClassification,0.992428,0.990775,0.992167,0.992776,0.990165,0.989382,0.992689,0.989034,0.989121,0.99295,0.992428,0.990949,0.989295,0.990775
WikipediaCryobiologySeparationClassification,0.932618,0.929185,0.932618,0.933047,0.927039,0.925751,0.933906,0.925322,0.925751,0.933047,0.933047,0.93133,0.926609,0.928326
WikipediaChemistryTopicsClassification,0.859382,0.849881,0.857007,0.867696,0.848694,0.848694,0.873159,0.846556,0.846793,0.867933,0.864133,0.852732,0.847031,0.849881
PubChemWikiParagraphsPC,0.225079,0.187288,0.219122,0.272449,0.184451,0.182787,0.297736,0.181518,0.181583,0.277322,0.244947,0.195301,0.18217,0.185877
WikipediaBiolumNeurochemClassification,0.962245,0.963265,0.962245,0.961224,0.964286,0.964286,0.959184,0.965306,0.965306,0.960204,0.965306,0.963265,0.965306,0.964286
ChemNQRetrieval,0.57735,0.50897,0.57257,0.63825,0.50509,0.501,0.67755,0.48661,0.47294,0.63852,0.6247,0.51609,0.49672,0.5043
WikipediaSolidStateColloidalClassification,0.801577,0.793018,0.800225,0.812387,0.789189,0.788514,0.818018,0.787387,0.787387,0.813288,0.806757,0.795495,0.787162,0.789865
PubChemAISentenceParaphrasePC,0.925093,0.92173,0.925094,0.928072,0.92183,0.921574,0.931202,0.922041,0.921742,0.92844,0.926567,0.923021,0.921804,0.921744
WikipediaTheoreticalAppliedClassification,0.641054,0.634722,0.639529,0.649143,0.633179,0.632416,0.654533,0.63174,0.631611,0.649794,0.644113,0.637052,0.632022,0.634233
WikipediaChemFieldsClassification,0.519295,0.514998,0.518862,0.522843,0.513102,0.512188,0.523358,0.511673,0.511427,0.5231,0.521403,0.516392,0.511872,0.514905
WikipediaChemEngSpecialtiesClassification,0.750806,0.735484,0.745968,0.767742,0.730645,0.729032,0.775806,0.730645,0.727419,0.769355,0.762097,0.73629,0.729032,0.733871
WikipediaGreenhouseEnantiopureClassification,0.972807,0.96886,0.972368,0.974561,0.968421,0.967105,0.975439,0.967544,0.966667,0.974123,0.973684,0.970614,0.967105,0.967982
PubChemWikiPairClassification,0.822149,0.746969,0.813398,0.88939,0.742899,0.736321,0.922891,0.734452,0.734752,0.896619,0.851472,0.770133,0.73418,0.745344
WikipediaCompChemSpectroscopyClassification,0.762896,0.759276,0.760633,0.766063,0.761538,0.761538,0.770588,0.761991,0.761538,0.766063,0.764706,0.761991,0.761991,0.760633
WikipediaChemistryTopicsClustering,0.684261,0.623489,0.651628,0.706672,0.649165,0.638154,0.723005,0.561646,0.561516,0.698323,0.683803,0.717931,0.56217,0.657478
WikipediaLuminescenceClassification,0.902439,0.904878,0.903659,0.908537,0.902439,0.90122,0.917073,0.9,0.9,0.910976,0.903659,0.904878,0.9,0.902439
