,BASF-AI__ChEmbed-full
ClimateFEVERHardNegatives,0.2135
STS14,0.800289
STS17,0.85439
CQADupstackUnixRetrieval,0.35933
ImdbClassification,0.872
STS22.v2,0.643301
STS12,0.754186
FEVERHardNegatives,0.72701
STSBenchmark,0.822032
HotpotQAHardNegatives,0.70835
TwentyNewsgroupsClustering.v2,0.453364
ToxicConversationsClassification,0.668115
MassiveScenarioClassification,0.752791
MassiveIntentClassification,0.702892
MedrxivClusteringS2S.v2,0.320674
AskUbuntuDupQuestions,0.601356
BiorxivClusteringP2P.v2,0.362477
Touche2020Retrieval.v3,0.4884
TRECCOVID,0.59472
SummEvalSummarization.v2,0.316647
StackExchangeClustering.v2,0.531656
TwitterSemEval2015,0.745258
STS13,0.819947
Banking77Classification,0.803896
STS15,0.8556
StackExchangeClusteringP2P.v2,0.369853
ArguAna,0.51444
TweetSentimentExtractionClassification,0.634097
AmazonCounterfactualClassification,0.784627
ArXivHierarchicalClusteringS2S,0.53455
ArXivHierarchicalClusteringP2P,0.566704
MTOPDomainClassification,0.933014
FiQA2018,0.34212
SprintDuplicateQuestions,0.927087
MedrxivClusteringP2P.v2,0.339238
MindSmallReranking,0.302714
SICK-R,0.768802
BIOSSES,0.845098
SCIDOCS,0.15407
TwitterURLCorpus,0.866516
CQADupstackGamingRetrieval,0.57602
