,BASF-AI__ChEmbed-full
ClimateFEVERHardNegatives,0.21458
STS14,0.800415
STS17,0.855144
CQADupstackUnixRetrieval,0.36094
ImdbClassification,0.862028
STS22.v2,0.647077
STS12,0.754157
FEVERHardNegatives,0.72729
STSBenchmark,0.82215
HotpotQAHardNegatives,0.70631
TwentyNewsgroupsClustering.v2,0.446772
ToxicConversationsClassification,0.650781
MassiveScenarioClassification,0.769401
MassiveIntentClassification,0.728951
MedrxivClusteringS2S.v2,0.323309
AskUbuntuDupQuestions,0.601766
BiorxivClusteringP2P.v2,0.362502
Touche2020Retrieval.v3,0.48852
TRECCOVID,0.59831
SummEvalSummarization.v2,0.315074
StackExchangeClustering.v2,0.53349
TwitterSemEval2015,0.752521
STS13,0.820112
Banking77Classification,0.840714
STS15,0.855617
StackExchangeClusteringP2P.v2,0.370382
ArguAna,0.51486
TweetSentimentExtractionClassification,0.608008
AmazonCounterfactualClassification,0.783881
ArXivHierarchicalClusteringS2S,0.544504
ArXivHierarchicalClusteringP2P,0.56651
MTOPDomainClassification,0.936366
FiQA2018,0.34175
SprintDuplicateQuestions,0.927421
MedrxivClusteringP2P.v2,0.339292
MindSmallReranking,0.302654
SICK-R,0.768874
BIOSSES,0.846405
SCIDOCS,0.15449
TwitterURLCorpus,0.866493
CQADupstackGamingRetrieval,0.57581
