,BASF-AI__ChEmbed-plug
ClimateFEVERHardNegatives,0.20275
STS14,0.793062
STS17,0.842679
CQADupstackUnixRetrieval,0.3459
ImdbClassification,0.862204
STS22.v2,0.653198
STS12,0.747467
FEVERHardNegatives,0.73476
STSBenchmark,0.810737
HotpotQAHardNegatives,0.68462
TwentyNewsgroupsClustering.v2,0.433247
ToxicConversationsClassification,0.646436
MassiveScenarioClassification,0.760659
MassiveIntentClassification,0.721453
MedrxivClusteringS2S.v2,0.309278
AskUbuntuDupQuestions,0.59847
BiorxivClusteringP2P.v2,0.358292
Touche2020Retrieval.v3,0.46152
TRECCOVID,0.58368
SummEvalSummarization.v2,0.321299
StackExchangeClustering.v2,0.51405
TwitterSemEval2015,0.740706
STS13,0.81426
Banking77Classification,0.838214
STS15,0.85003
StackExchangeClusteringP2P.v2,0.366417
ArguAna,0.51637
TweetSentimentExtractionClassification,0.590068
AmazonCounterfactualClassification,0.781045
ArXivHierarchicalClusteringS2S,0.532091
ArXivHierarchicalClusteringP2P,0.557713
MTOPDomainClassification,0.934907
FiQA2018,0.31565
SprintDuplicateQuestions,0.923685
MedrxivClusteringP2P.v2,0.332792
MindSmallReranking,0.30183
SICK-R,0.757061
BIOSSES,0.839881
SCIDOCS,0.14407
TwitterURLCorpus,0.862045
CQADupstackGamingRetrieval,0.56641
