,BASF-AI__ChEmbed-prog
ClimateFEVERHardNegatives,0.21052
STS14,0.797321
STS17,0.849273
CQADupstackUnixRetrieval,0.34837
ImdbClassification,0.86912
STS22.v2,0.647235
STS12,0.749017
FEVERHardNegatives,0.73075
STSBenchmark,0.815565
HotpotQAHardNegatives,0.70314
TwentyNewsgroupsClustering.v2,0.431551
ToxicConversationsClassification,0.661621
MassiveScenarioClassification,0.749193
MassiveIntentClassification,0.70037
MedrxivClusteringS2S.v2,0.310578
AskUbuntuDupQuestions,0.602344
BiorxivClusteringP2P.v2,0.350094
Touche2020Retrieval.v3,0.45782
TRECCOVID,0.60196
SummEvalSummarization.v2,0.30908
StackExchangeClustering.v2,0.51163
TwitterSemEval2015,0.735702
STS13,0.81905
Banking77Classification,0.80526
STS15,0.852628
StackExchangeClusteringP2P.v2,0.36914
ArguAna,0.52159
TweetSentimentExtractionClassification,0.61893
AmazonCounterfactualClassification,0.783284
ArXivHierarchicalClusteringS2S,0.527463
ArXivHierarchicalClusteringP2P,0.561346
MTOPDomainClassification,0.932877
FiQA2018,0.32622
SprintDuplicateQuestions,0.927682
MedrxivClusteringP2P.v2,0.331175
MindSmallReranking,0.301602
SICK-R,0.762159
BIOSSES,0.844579
SCIDOCS,0.14759
TwitterURLCorpus,0.863474
CQADupstackGamingRetrieval,0.56915
