,BASF-AI__ChEmbed-prog
ClimateFEVERHardNegatives,0.21087
STS14,0.797509
STS17,0.849429
CQADupstackUnixRetrieval,0.3499
ImdbClassification,0.860452
STS22.v2,0.651264
STS12,0.748942
FEVERHardNegatives,0.73153
STSBenchmark,0.815572
HotpotQAHardNegatives,0.70161
TwentyNewsgroupsClustering.v2,0.435657
ToxicConversationsClassification,0.648145
MassiveScenarioClassification,0.763517
MassiveIntentClassification,0.725017
MedrxivClusteringS2S.v2,0.313531
AskUbuntuDupQuestions,0.601559
BiorxivClusteringP2P.v2,0.350962
Touche2020Retrieval.v3,0.45933
TRECCOVID,0.60566
SummEvalSummarization.v2,0.307358
StackExchangeClustering.v2,0.518264
TwitterSemEval2015,0.744399
STS13,0.819183
Banking77Classification,0.83987
STS15,0.852695
StackExchangeClusteringP2P.v2,0.370649
ArguAna,0.52249
TweetSentimentExtractionClassification,0.596604
AmazonCounterfactualClassification,0.78209
ArXivHierarchicalClusteringS2S,0.528852
ArXivHierarchicalClusteringP2P,0.557898
MTOPDomainClassification,0.93591
FiQA2018,0.32598
SprintDuplicateQuestions,0.928086
MedrxivClusteringP2P.v2,0.334519
MindSmallReranking,0.301767
SICK-R,0.762382
BIOSSES,0.843531
SCIDOCS,0.14826
TwitterURLCorpus,0.863536
CQADupstackGamingRetrieval,0.56893
