,BASF-AI__ChEmbed-vanilla
ClimateFEVERHardNegatives,0.24186
STS14,0.806996
STS17,0.86356
CQADupstackUnixRetrieval,0.35733
ImdbClassification,0.876228
STS22.v2,0.642103
STS12,0.77097
FEVERHardNegatives,0.77993
STSBenchmark,0.836283
HotpotQAHardNegatives,0.71908
TwentyNewsgroupsClustering.v2,0.460838
ToxicConversationsClassification,0.665527
MassiveScenarioClassification,0.754607
MassiveIntentClassification,0.703396
MedrxivClusteringS2S.v2,0.33564
AskUbuntuDupQuestions,0.606771
BiorxivClusteringP2P.v2,0.381467
Touche2020Retrieval.v3,0.51454
TRECCOVID,0.66028
SummEvalSummarization.v2,0.317508
StackExchangeClustering.v2,0.558838
TwitterSemEval2015,0.753742
STS13,0.829435
Banking77Classification,0.80211
STS15,0.860868
StackExchangeClusteringP2P.v2,0.374455
ArguAna,0.5175
TweetSentimentExtractionClassification,0.639389
AmazonCounterfactualClassification,0.775224
ArXivHierarchicalClusteringS2S,0.536586
ArXivHierarchicalClusteringP2P,0.571508
MTOPDomainClassification,0.932216
FiQA2018,0.34892
SprintDuplicateQuestions,0.924943
MedrxivClusteringP2P.v2,0.352926
MindSmallReranking,0.299725
SICK-R,0.77549
BIOSSES,0.850706
SCIDOCS,0.15482
TwitterURLCorpus,0.866522
CQADupstackGamingRetrieval,0.57506
