,BASF-AI__Chembedding-full
ClimateFEVERHardNegatives,0.1831
STS14,0.781774
STS17,0.84439
CQADupstackUnixRetrieval,0.37835
ImdbClassification,0.843852
STS22.v2,0.636939
STS12,0.70339
FEVERHardNegatives,0.60645
STSBenchmark,0.794015
HotpotQAHardNegatives,0.63248
TwentyNewsgroupsClustering.v2,0.339873
ToxicConversationsClassification,0.655078
MassiveScenarioClassification,0.73423
MassiveIntentClassification,0.674613
MedrxivClusteringS2S.v2,0.290946
AskUbuntuDupQuestions,0.599032
BiorxivClusteringP2P.v2,0.343851
Touche2020Retrieval.v3,0.47444
TRECCOVID,0.43989
SummEvalSummarization.v2,0.305027
StackExchangeClustering.v2,0.440039
TwitterSemEval2015,0.737751
STS13,0.807668
Banking77Classification,0.809286
STS15,0.853073
StackExchangeClusteringP2P.v2,0.361381
ArguAna,0.52029
TweetSentimentExtractionClassification,0.585569
AmazonCounterfactualClassification,0.799104
ArXivHierarchicalClusteringS2S,0.524071
ArXivHierarchicalClusteringP2P,0.557675
MTOPDomainClassification,0.922572
FiQA2018,0.32857
SprintDuplicateQuestions,0.938871
MedrxivClusteringP2P.v2,0.321163
MindSmallReranking,0.305841
SICK-R,0.750347
BIOSSES,0.850134
SCIDOCS,0.16484
TwitterURLCorpus,0.858545
CQADupstackGamingRetrieval,0.58478
