,BASF-AI__Chembedding-plug
ClimateFEVERHardNegatives,0.1706
STS14,0.761671
STS17,0.824294
CQADupstackUnixRetrieval,0.374
ImdbClassification,0.838028
STS22.v2,0.6483
STS12,0.687139
FEVERHardNegatives,0.5767
STSBenchmark,0.770411
HotpotQAHardNegatives,0.61001
TwentyNewsgroupsClustering.v2,0.313242
ToxicConversationsClassification,0.640186
MassiveScenarioClassification,0.715804
MassiveIntentClassification,0.656321
MedrxivClusteringS2S.v2,0.275132
AskUbuntuDupQuestions,0.595392
BiorxivClusteringP2P.v2,0.313399
Touche2020Retrieval.v3,0.48148
TRECCOVID,0.47696
SummEvalSummarization.v2,0.307241
StackExchangeClustering.v2,0.402917
TwitterSemEval2015,0.716675
STS13,0.791639
Banking77Classification,0.800747
STS15,0.841455
StackExchangeClusteringP2P.v2,0.343808
ArguAna,0.50552
TweetSentimentExtractionClassification,0.554754
AmazonCounterfactualClassification,0.798657
ArXivHierarchicalClusteringS2S,0.525683
ArXivHierarchicalClusteringP2P,0.540939
MTOPDomainClassification,0.912403
FiQA2018,0.31846
SprintDuplicateQuestions,0.929318
MedrxivClusteringP2P.v2,0.309366
MindSmallReranking,0.304287
SICK-R,0.73698
BIOSSES,0.826543
SCIDOCS,0.15908
TwitterURLCorpus,0.853442
CQADupstackGamingRetrieval,0.57264
