,step_660,epoch_1,epoch_2,step_1045,step_440,epoch_7,step_385,step_825,step_275,step_605,epoch_3,epoch_5,step_935,epoch_6,epoch_4,epoch_0,step_770,step_715,step_550,step_495,step_165,step_220,step_990,step_55,step_110,epoch_9,step_880,step_330,epoch_8
ClimateFEVERHardNegatives,0.24799,0.2854,0.26501,0.24273,0.25598,0.24392,0.25581,0.24334,0.27128,0.24625,0.2576,0.24856,0.24324,0.24468,0.25181,0.33691,0.24471,0.24647,0.24925,0.25123,0.30792,0.28084,0.24281,0.38495,0.33339,0.24304,0.24369,0.26198,0.24219
STS14,0.807674,0.81068,0.809343,0.807037,0.808708,0.807149,0.808787,0.807185,0.810064,0.807796,0.808776,0.807752,0.807063,0.80732,0.8081,0.814184,0.807367,0.807529,0.807904,0.808427,0.812345,0.810609,0.806961,0.816876,0.81397,0.806953,0.807269,0.809333,0.807086
STS17,0.86493,0.86708,0.866468,0.863833,0.864739,0.864058,0.865716,0.863955,0.866916,0.864774,0.865055,0.864813,0.863534,0.864085,0.865132,0.869697,0.864161,0.864367,0.865289,0.865556,0.868377,0.866747,0.863711,0.873155,0.869814,0.863616,0.864058,0.866216,0.863821
CQADupstackUnixRetrieval,0.3607,0.36301,0.36486,0.36077,0.36476,0.35985,0.36335,0.36033,0.36483,0.36138,0.36459,0.36156,0.36117,0.36032,0.36263,0.36335,0.35909,0.35967,0.3616,0.36276,0.36713,0.36425,0.36043,0.3643,0.36271,0.3601,0.36038,0.3638,0.36047
ImdbClassification,0.865196,0.863688,0.864612,0.864776,0.864812,0.864964,0.865176,0.864784,0.864088,0.865252,0.86476,0.864944,0.86468,0.865016,0.864984,0.8639,0.864836,0.864892,0.865436,0.865212,0.864308,0.863916,0.864792,0.85992,0.863864,0.864772,0.864772,0.86504,0.864832
STS22.v2,0.646067,0.647852,0.645811,0.645468,0.646234,0.645295,0.645811,0.64539,0.646658,0.646034,0.645935,0.646313,0.645715,0.645939,0.645632,0.650285,0.645801,0.645932,0.645723,0.646105,0.648627,0.647731,0.645482,0.651648,0.650516,0.645558,0.645902,0.646344,0.645417
STS12,0.772432,0.777659,0.775293,0.770725,0.773731,0.7708,0.774043,0.770836,0.776138,0.772315,0.774078,0.772299,0.770774,0.771481,0.773102,0.781339,0.771483,0.771823,0.772804,0.773451,0.779808,0.777322,0.770662,0.786263,0.781131,0.770655,0.770937,0.77482,0.770606
FEVERHardNegatives,0.79007,0.83746,0.81838,0.77964,0.80986,0.78125,0.81311,0.78109,0.83074,0.79695,0.8098,0.79112,0.78086,0.78482,0.79964,0.86023,0.78547,0.78971,0.79871,0.80538,0.85024,0.83652,0.77924,0.87683,0.85937,0.77944,0.78116,0.81575,0.77916
STSBenchmark,0.837546,0.844982,0.841862,0.836237,0.839566,0.836638,0.840185,0.83643,0.842953,0.837785,0.839586,0.837681,0.836342,0.836913,0.838528,0.851824,0.836969,0.837097,0.838332,0.838772,0.848321,0.844637,0.83614,0.856323,0.851509,0.836063,0.836552,0.841515,0.836335
HotpotQAHardNegatives,0.71985,0.7332,0.72457,0.71815,0.7257,0.7183,0.72471,0.71855,0.72996,0.72115,0.72386,0.71898,0.71861,0.71777,0.72089,0.74379,0.71954,0.71839,0.72232,0.72255,0.73554,0.73089,0.71761,0.75702,0.74246,0.71864,0.71865,0.7254,0.71792
TwentyNewsgroupsClustering.v2,0.472828,0.470283,0.469574,0.475863,0.46672,0.468045,0.470821,0.466103,0.460057,0.4584,0.45634,0.458309,0.470845,0.46647,0.466949,0.467178,0.468771,0.464165,0.46624,0.453538,0.480152,0.471665,0.458419,0.482712,0.469236,0.470014,0.469701,0.469143,0.474828
ToxicConversationsClassification,0.65332,0.656836,0.654199,0.654053,0.654199,0.65376,0.653711,0.653564,0.654736,0.653516,0.653906,0.653564,0.653369,0.653223,0.653369,0.659814,0.65376,0.653418,0.653516,0.653125,0.656982,0.656982,0.653564,0.663818,0.65957,0.653809,0.65332,0.654785,0.653613
MassiveScenarioClassification,0.775521,0.775689,0.775555,0.775723,0.775588,0.775656,0.775824,0.775824,0.775353,0.775723,0.775555,0.775588,0.775488,0.775757,0.775521,0.776631,0.775219,0.775689,0.775992,0.776026,0.775891,0.775925,0.775353,0.776362,0.776126,0.775488,0.775488,0.775588,0.775588
MassiveIntentClassification,0.734533,0.735945,0.735272,0.734802,0.735575,0.734802,0.736348,0.735003,0.736079,0.734869,0.735071,0.73497,0.734734,0.735037,0.735205,0.736785,0.734331,0.734196,0.735003,0.734869,0.736718,0.735878,0.734869,0.73544,0.736348,0.734936,0.734633,0.735609,0.734936
MedrxivClusteringS2S.v2,0.333928,0.336742,0.337217,0.33414,0.333929,0.332484,0.331884,0.332684,0.335027,0.33113,0.339066,0.335807,0.334548,0.332137,0.336381,0.336057,0.33958,0.335912,0.337242,0.336868,0.3358,0.338644,0.32979,0.346255,0.338731,0.332502,0.333651,0.336314,0.33395
