,epoch_12,epoch_1,epoch_2,epoch_7,epoch_10,epoch_15,epoch_14,epoch_17,epoch_3,epoch_19,epoch_5,epoch_6,epoch_4,epoch_0,epoch_18,epoch_11,epoch_16,epoch_9,epoch_8,epoch_13
ClimateFEVERHardNegatives,0.192,0.21339,0.21347,0.19465,0.19534,0.1898,0.1885,0.18601,0.20783,0.18624,0.2052,0.20009,0.20829,0.22962,0.18672,0.20249,0.18879,0.19428,0.19884,0.19164
STS14,0.790943,0.803099,0.800519,0.793916,0.792025,0.789473,0.78971,0.78913,0.798716,0.788709,0.795572,0.79491,0.795978,0.807034,0.788873,0.793035,0.789317,0.791215,0.793046,0.790296
STS17,0.841464,0.858391,0.856183,0.848137,0.843743,0.839266,0.839934,0.837838,0.85386,0.837919,0.849508,0.849681,0.851544,0.863292,0.83811,0.843185,0.839413,0.844267,0.844723,0.841267
CQADupstackUnixRetrieval,0.34025,0.35409,0.36323,0.34785,0.3468,0.34279,0.34166,0.34073,0.35644,0.34169,0.35753,0.34609,0.35902,0.35552,0.34041,0.34513,0.34191,0.34002,0.34782,0.34237
ImdbClassification,0.866488,0.864048,0.862696,0.867292,0.867648,0.865236,0.866284,0.8655,0.86548,0.865328,0.86612,0.864788,0.864516,0.86244,0.8653,0.861984,0.866176,0.866412,0.867208,0.865692
STS22.v2,0.651086,0.644425,0.645823,0.646858,0.650717,0.652065,0.651603,0.652922,0.645278,0.652603,0.64488,0.645463,0.646177,0.64471,0.652584,0.653227,0.652182,0.649096,0.647474,0.65108
STS12,0.746866,0.759597,0.75486,0.746916,0.746575,0.747757,0.74724,0.747932,0.753066,0.748132,0.74873,0.747536,0.748844,0.768852,0.747929,0.747503,0.747804,0.74483,0.743132,0.74701
FEVERHardNegatives,0.7232,0.74792,0.72768,0.71414,0.72489,0.73013,0.73179,0.72406,0.7105,0.72534,0.71787,0.72554,0.73099,0.77124,0.72647,0.734,0.72667,0.72,0.71907,0.73398
STSBenchmark,0.807425,0.827087,0.823015,0.812671,0.808658,0.805842,0.806437,0.805562,0.818885,0.805078,0.814193,0.813684,0.814797,0.835207,0.805205,0.810699,0.805878,0.807906,0.809191,0.807159
HotpotQAHardNegatives,0.67164,0.69944,0.70452,0.68357,0.6802,0.6684,0.66901,0.66573,0.7037,0.6648,0.69544,0.69,0.69664,0.7081,0.66502,0.68382,0.66463,0.67494,0.68077,0.67047
TwentyNewsgroupsClustering.v2,0.428674,0.445969,0.446227,0.435761,0.435472,0.431653,0.411312,0.427601,0.438799,0.428012,0.430138,0.433055,0.423217,0.458732,0.428225,0.438825,0.433076,0.434096,0.439184,0.414655
ToxicConversationsClassification,0.646143,0.653467,0.650586,0.647461,0.647168,0.647168,0.646045,0.64624,0.650049,0.645264,0.648145,0.647559,0.651172,0.651514,0.646191,0.645361,0.646826,0.645703,0.646729,0.64585
MassiveScenarioClassification,0.759785,0.770915,0.769973,0.76345,0.760592,0.759011,0.75881,0.757599,0.768527,0.758104,0.764492,0.763517,0.765871,0.774647,0.758036,0.760491,0.758339,0.7615,0.762071,0.759516
MassiveIntentClassification,0.72226,0.729422,0.728884,0.726295,0.723336,0.721453,0.721587,0.720982,0.728917,0.721015,0.726866,0.72653,0.727875,0.732179,0.720713,0.721385,0.721957,0.723773,0.72542,0.721318
MedrxivClusteringS2S.v2,0.31024,0.321978,0.322229,0.313882,0.307026,0.305789,0.308016,0.305149,0.318833,0.30866,0.315681,0.313895,0.314303,0.325068,0.307687,0.303941,0.308159,0.308931,0.311648,0.305959
AskUbuntuDupQuestions,0.597505,0.600209,0.601707,0.598714,0.597111,0.596837,0.597272,0.595441,0.599889,0.595743,0.599361,0.599165,0.59921,0.603608,0.595847,0.598584,0.596109,0.59926,0.598369,0.597839
BiorxivClusteringP2P.v2,0.350825,0.367736,0.368283,0.365483,0.353315,0.345076,0.34722,0.351213,0.36414,0.343784,0.355204,0.357598,0.36025,0.375622,0.344546,0.352229,0.349008,0.35332,0.357696,0.346416
Touche2020Retrieval.v3,0.43594,0.5098,0.48682,0.46635,0.45569,0.4609,0.45336,0.4517,0.47365,0.4559,0.47635,0.46991,0.49304,0.52181,0.45371,0.46223,0.45341,0.45507,0.47499,0.45376
TRECCOVID,0.57222,0.63068,0.59831,0.58698,0.58035,0.56947,0.56396,0.55861,0.60774,0.56218,0.60105,0.60868,0.62782,0.65743,0.55838,0.58678,0.55964,0.58417,0.59292,0.56628
SummEvalSummarization.v2,0.316727,0.314924,0.313539,0.318539,0.317959,0.321393,0.318655,0.322014,0.314235,0.322906,0.313756,0.31293,0.315321,0.321938,0.320111,0.316953,0.319892,0.317369,0.322992,0.318316
StackExchangeClustering.v2,0.511699,0.539899,0.537003,0.519722,0.511677,0.510151,0.503696,0.502995,0.527577,0.497989,0.518721,0.515778,0.521169,0.542266,0.508233,0.508838,0.507488,0.522331,0.51525,0.506484
TwitterSemEval2015,0.739949,0.755752,0.752364,0.745864,0.741947,0.738452,0.738789,0.737828,0.750013,0.737624,0.747279,0.746437,0.749019,0.76032,0.737515,0.740502,0.738353,0.7431,0.745053,0.739481
STS13,0.812934,0.824066,0.819491,0.814191,0.813482,0.811711,0.81173,0.811503,0.818952,0.811233,0.816461,0.816828,0.81674,0.827108,0.811292,0.814042,0.811726,0.811966,0.813571,0.812118
Banking77Classification,0.837305,0.841916,0.840649,0.839643,0.837435,0.83776,0.837597,0.838019,0.839026,0.83737,0.838929,0.839448,0.839026,0.84237,0.83763,0.838247,0.8375,0.838766,0.838506,0.838019
STS15,0.848336,0.856668,0.855808,0.85095,0.849264,0.847542,0.847874,0.847263,0.853643,0.846917,0.851639,0.85136,0.85261,0.861731,0.84695,0.849962,0.847412,0.848696,0.849753,0.848133
StackExchangeClusteringP2P.v2,0.365704,0.374639,0.369781,0.366916,0.366504,0.367401,0.364918,0.361814,0.372211,0.360934,0.367913,0.368315,0.370763,0.378911,0.36208,0.365897,0.36038,0.361951,0.364047,0.36413
ArguAna,0.50888,0.51064,0.51515,0.51055,0.50673,0.50579,0.50703,0.50577,0.511,0.50416,0.51009,0.51124,0.51182,0.52157,0.50514,0.51669,0.50396,0.50231,0.5105,0.50494
